"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50"
"X79.1",2.34429055131554e-29,0.235358501390539,5.74481281178315e-05,2.41126173365711e-10,5.9335219508154e-12,3.55575782617997e-25,3.08303895041452e-10,1.17273363363402e-09,5.1174916696324e-12,9.3447286189554e-08,0.000178180705827233,0.29045876486466,2.57358927267494e-05,6.92158365352116e-16,0.00125746449440783,0.00700113113921056,7.26714913417182e-08,0.0176282692025572,2.29487318166336e-15,1.6513322296661e-11,2.09211480196237e-09,0.179948767600503,8.04364483971995e-23,0.000886977716934921,2.72601529116877e-26,8.45740479739942e-18,8.16238961019045e-27,8.04280025588014e-26,0.0153462301757154,4.3661746640737e-16,0.0159961180237825,2.29278073040004e-24,0.00454638043335351,0.087819080304679,0.000697464830589329,1.88527860493019e-07,5.02529677429892e-21,2.06151674498641e-10,8.00860908052912e-21,1.17976644721321e-13,3.25172600350149e-14,8.06129793596952e-29,5.83024384124095e-12,2.63500045968164e-19,8.14397946893536e-14,0.0105673088564851,5.52367657267436e-29,3.09803262213624e-17,3.8445846355123e-17,6.98477694194738e-14
"X97",1.86172562079789e-10,0.0876630150126345,2.36698597722498e-06,3.35689005729417e-11,4.38134005090331e-08,6.07489543064163e-21,4.16501019833971e-13,1.04295937402601e-05,1.7173957677281e-17,2.91028061061412e-09,2.49948352118435e-07,0.249477616883675,7.15918253902166e-08,4.25217966141837e-15,1.29193613226816e-12,0.0169981609906504,1.53174586483907e-08,0.0238517879717899,3.62269475583349e-09,0.000128224408883877,3.63519668520618e-10,0.276633699102302,1.21518134358184e-15,8.38804438284686e-05,4.77024363960433e-18,1.43272212726761e-15,1.16693233480037e-27,4.98186026029747e-10,0.0178893832167426,7.4517636602838e-19,1.74036809177646e-10,2.16148878068043e-23,1.13290739107073e-11,0.103120080566381,0.0752949770585788,0.000141607400229161,1.46097202242276e-11,2.15504755360208e-12,1.90748840147524e-13,1.49672937968199e-12,2.10518025289625e-09,4.87402337424656e-05,2.87400483795404e-11,2.61970584737769e-17,6.25559254079234e-43,0.00250983913033083,1.47233473438857e-38,0.000456291880893783,0.00609598656807044,4.42162988590653e-05
"X123",2.00265461733523e-12,1.15882790976627e-11,0.000161232155135242,8.98851065760291e-24,1.31760390004012e-31,1.85789818009434e-31,2.02278583936107e-30,0.00725306711763803,3.67668458025742e-17,1.81392815377279e-32,1.42176385219193e-25,0.198938627776596,2.85863562277081e-15,6.73318080336616e-20,2.96763210521695e-29,0.0253438649345467,1.09889775569931e-05,0.0271366920860838,5.49894415680591e-12,9.63463644029308e-26,4.52788128182278e-12,0.26417703048561,2.31213255726245e-15,2.93683358757637e-29,1.55659439807753e-25,9.26284675342867e-33,8.66430661011234e-30,7.16936688185971e-14,0.0112084664193916,2.41094954933621e-28,2.76952027391842e-37,6.45324741502823e-29,6.37347393853136e-38,0.100597608511077,0.192112178683821,0.000291937649448731,7.90182482541762e-16,1.1437710687812e-31,0.00329624980041702,8.53723882042703e-27,3.48151438898242e-09,0.0194676310062364,1.75006742479582e-18,2.93041796544453e-16,1.20781234889101e-16,1.48083972400828e-12,1.70350475273958e-30,0.00463959273426942,0.0116922227782432,4.59937615195643e-12
"X63",5.23732466919389e-15,1.06823568136256e-30,0.00561647360819672,2.94035452894401e-11,7.35310656441928e-19,6.53415353391518e-10,6.27062041726792e-16,0.00179939011618532,0.000109263811163876,1.30683512409533e-21,3.18544323782135e-36,0.169439009237311,2.56411496060641e-14,8.5899678994719e-12,3.05186470643881e-18,0.034700940955011,0.00097338892308809,0.0305353298775553,3.01748894316729e-08,2.38095758214772e-23,2.09469275913533e-11,0.156966894624083,1.33135594849528e-16,9.38571337293533e-23,9.66469070564247e-15,5.39985107297586e-20,6.4185545687783e-34,4.82247253931289e-13,0.00930235980865903,2.24681031653115e-09,1.13025142787493e-25,5.47481028066722e-15,2.80830973788671e-29,0.100133893215692,0.321880914485641,2.92820765971174e-05,5.32346865756251e-13,5.28663373362038e-23,0.00268286084123099,4.92022609556952e-06,9.67198357623618e-13,0.0188817167693844,2.44946882341182e-20,1.07689691335162e-09,0.0191495664334672,1.06314561450724e-11,1.69535303211757e-27,1.026144099352e-11,0.0109916355033019,1.42781472563213e-16
"X111",7.33181566151532e-10,2.73107965562272e-13,0.00179405212346778,1.26601909181007e-08,8.68063238997481e-09,0.0204661723871271,2.54061736593814e-09,1.63328403537227e-22,0.0217313175144585,4.17177384162709e-10,0.0342876782813673,0.152570213917747,4.14150507025675e-23,0.00258711176523421,7.04808862455534e-15,0.0421928176041345,0.000813057063749399,0.024168805694291,2.48536727063423e-15,6.57465894767019e-08,5.14052439377574e-05,0.0422576909548893,4.83545237371734e-24,2.51932103356965e-19,4.19701714790293e-12,0.00153623234319687,2.78605235662622e-21,3.36003174443791e-17,0.0179491252288694,7.3264818543246e-07,0.00829437431995419,4.80533537783587e-21,1.24456900521561e-25,0.084325837052856,0.413735926957353,0.00382362320917018,1.96293078635213e-05,2.53782554008919e-16,1.19829803696578e-11,0.00909953870662325,7.15141540759068e-13,1.65224546844784e-39,5.07854340937503e-14,7.36527725237381e-27,0.0112903803800198,1.25388431211401e-13,5.78243060071557e-21,8.4174615269982e-09,7.18916548857094e-10,2.74940423297522e-25
"X127",4.83210862822256e-21,2.73905638326294e-12,0.000496849503079265,1.11757483154067e-16,1.27618140929594e-17,0.0466164819106953,1.35526229613317e-10,0.00279843246937836,0.0295773388925951,3.99507972653743e-13,0.172358080450439,0.141353688231262,6.5452282491579e-27,1.89716962898672e-47,1.51233617852782e-20,0.0467742904837921,8.03623485214259e-26,0.0252439424192412,8.3065689069348e-24,9.71967834077097e-12,0.00131883902476396,0.00121754041453175,4.89623686599967e-33,3.25329047688458e-19,7.69884735851601e-16,1.51472280714306e-06,3.28149920334202e-05,4.43374026930215e-26,0.0126031252844793,4.47490551780507e-05,0.00757722317428484,2.51347141235316e-28,1.62505077131499e-27,0.0560777102967425,0.381227068523373,3.67440009755899e-14,1.01082944539071e-19,1.4825821769191e-22,0.000701791431782823,7.79382023379562e-12,2.94957073170081e-20,4.05639457288327e-38,8.05730263728912e-14,2.31353476553088e-33,6.40475903246659e-29,1.412960300076e-21,5.86715025598122e-07,1.87306269533597e-09,1.30667602809187e-12,1.09578039428186e-20
"X139",9.51381725792311e-25,9.28752036352128e-20,2.51159182133603e-48,3.86986147443782e-30,9.43647244354144e-19,3.94334448843636e-31,2.17994360250782e-22,5.24856299530735e-19,3.50210034932454e-21,3.09861123624601e-22,0.19041296834112,0.0293915613211431,0.364104053787672,0.0679118621135174,9.92476686509626e-16,9.83530004893617e-06,2.41546807906327e-14,2.13502646810443e-53,1.41069565442286e-20,4.59163764635298e-17,3.40689205657597e-30,4.26268251117296e-07,0.00795710129247003,4.44815648648869e-29,2.53675091748326e-16,3.22905561199087e-25,4.58665932737142e-06,1.91165881494612e-13,6.00607217050314e-32,2.09991690436773e-38,5.67218471681426e-23,5.66618280984143e-16,0.107063316651525,1.79649813304732e-32,0.0421918502011905,2.67826694744829e-10,5.95049843004891e-27,4.08749494420666e-05,0.162514829646521,1.99897248727977e-31,3.22684349777673e-20,0.00145934706817369,1.0069004775769e-21,0.00940055505325454,2.96034464941611e-32,1.07096203254004e-07,0.0108263801436595,5.09939559722295e-42,2.9770975566927e-13,6.43990276619188e-05
"X131",5.24072819594629e-28,1.19788895910418e-12,5.16232834888411e-52,3.01379662804265e-34,3.86006839737198e-16,2.06745737435302e-17,7.30884489337589e-12,1.00339634894794e-17,3.00014903130161e-30,4.3745538207902e-26,0.0471284150040309,0.0293407384683632,0.38445948111657,0.00824253095133545,7.14067685918734e-12,1.05844464989474e-05,1.00482214627944e-14,7.79063191272391e-41,1.01601203323226e-14,1.4691233091666e-18,1.88124969322318e-29,1.81625020157365e-10,0.0644219283120637,1.26881801607133e-34,3.20208446985238e-20,2.09254069376117e-14,1.25983187906989e-30,1.85287564679325e-09,1.5589363179217e-20,1.21072954459371e-17,1.50898052705322e-22,6.93271756791468e-32,0.117676891919094,0.043256081710372,0.0294853667900146,0.0159054528684979,3.11936085778012e-26,0.0124198536327312,0.182442571831626,3.84676850582325e-11,1.08095504515994e-11,0.00119244212241975,2.61051940336247e-20,0.0139233974105244,0.00447031753765303,3.09089636027248e-09,1.09392492552468e-14,4.34724225239253e-37,2.51171603956142e-23,4.52076232322299e-13
"X102",2.65034725213144e-13,0.00351476728080207,1.18251886116613e-30,3.08758690590685e-15,5.65396908782717e-23,4.83659618361597e-15,4.26922476353438e-06,0.000653941308605609,2.74371113307812e-21,8.06647592244533e-24,8.08867708289594e-24,0.0386596219636751,0.26509679050251,1.06363015870944e-51,3.75804939372535e-27,0.0307581030607079,1.41534348315521e-11,1.42636260762472e-20,4.02890056350886e-24,4.70622263810334e-16,2.61829909073482e-25,1.55783854516529e-05,0.201326778475287,5.65968538192029e-16,2.86018501078105e-17,8.07148222444741e-08,6.05780257480076e-22,0.00246130601216656,1.20361391902608e-05,1.74305468312507e-17,3.51703086184244e-21,1.30414107294089e-22,0.127097789166419,0.132016563807987,0.0113580359956644,0.00192693664803084,1.3223059957003e-18,0.014241157195264,0.117510619079175,4.68506332688783e-13,5.16585796132591e-08,0.00122346115953974,3.05183172423866e-09,1.21165924148634e-07,0.0024850477258983,1.06836763541216e-41,3.18774999075301e-21,1.41339911125515e-21,4.35368853193158e-20,1.17262541765618e-07
"X54",0.00426459687758706,0.00214357356868039,1.51522552044543e-14,4.81953072427962e-13,2.43683082891097e-17,3.78794964059743e-05,2.09011040574989e-08,0.00267792221959435,0.00081399643344655,3.80702078409613e-20,2.87743270000722e-28,0.0489356954665132,0.121196766090414,8.1902541107799e-12,6.60204623051025e-17,0.0445463023676925,1.78053193427603e-09,8.02222726711739e-31,4.14421369904708e-18,8.25663298893276e-17,2.31930223238219e-06,0.00734803899497275,0.35156942883865,0.0142391410432757,2.19256261123256e-12,2.37969929185345e-09,2.41573284981206e-08,0.000498840199776724,2.21475878683401e-13,1.31147591582158e-19,2.36514881113931e-10,1.7449851543053e-07,0.138032510446049,0.144430806936207,0.00241064614836499,0.00434000720808256,1.31937438492951e-22,0.00925114024900816,0.0320228066785974,2.83033723410359e-16,0.00054792737607317,0.00038089362866102,1.00330384697517e-11,0.00152639358164246,1.75614171782238e-09,3.59903301724927e-24,1.08944428595946e-21,4.53997741829244e-16,4.24162650697407e-05,4.6315131513271e-08
