"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52","r53","r54"
"X147",3.32544842430869e-24,5.11474083922368e-19,0.000500896848149491,6.87245127251299e-08,7.24287872363728e-10,8.24563647426255e-19,0.000136147497000025,4.58765762673447e-10,0.256251105936329,8.40030261860924e-17,0.152971590660341,6.0407151826662e-06,1.50141817089132e-05,2.81594442768885e-13,4.1466479860031e-05,0.00541113553939001,0.00992725236667437,0.0104968867523147,6.56520151271039e-09,0.0938300503757289,4.66152354138017e-09,2.71652321044157e-07,5.91818101644465e-13,1.94026066005806e-29,9.43605685177598e-13,1.65655141172803e-13,7.49012187389668e-07,1.3071303756087e-17,8.03274018553422e-19,0.357196228500587,1.12807905887873e-09,1.36138021641903e-05,0.0360277457521278,7.22260143968464e-12,4.47223020617796e-18,0.00422464012974673,1.65726549062769e-09,1.84749541429693e-13,0.003434931692633,2.93977412697259e-18,2.64422097179262e-16,5.54147598808702e-10,1.87765583328657e-24,0.041448638057049,6.82510540604826e-06,5.66380369743809e-31,1.8319299793402e-16,3.30086740775735e-14,1.7678029388774e-10,6.42261083316773e-45,0.0139983745017905,3.5624643139487e-28,5.19858039233691e-17,0.00161909705360847
"X143",1.77008797184363e-29,0.0207591239553533,0.000365159219330439,0.000340501675834424,0.0233399594280925,7.26441938001451e-05,5.94750783436804e-13,5.2642566939155e-23,0.112092883538152,4.29658817725439e-13,0.403024336661736,0.0269706627983376,5.47978690521592e-14,1.0751340856177e-25,9.07327792086204e-11,0.0246683818018549,3.71763421860056e-07,0.00717339241579886,0.00347488483375031,0.0165462402296255,3.7632297570684e-22,2.21737499784698e-15,4.91478305153843e-27,1.3135538363149e-18,0.00665328968490038,3.6118416641467e-27,2.92796060449069e-24,1.07839192571862e-05,5.16826508783697e-23,0.192882292903553,1.62567074846283e-19,4.1013374893434e-17,0.0160537743637271,8.59794109565507e-18,2.39709400472544e-08,1.2769149726314e-18,2.14805891764347e-10,2.68472920900666e-19,0.0157781602992102,4.22879356242668e-12,0.000593723380175068,7.43754036145817e-06,0.0233880813784228,0.0864143292926624,7.591854309087e-18,1.01260607813284e-08,9.76419604136668e-17,8.88747822571737e-09,1.65254689991177e-19,6.09632868041784e-16,4.81128278565771e-06,2.15008037273649e-27,4.65309191021068e-10,5.05534717597104e-10
"X72",1.49416857239015e-07,0.0358469888922948,7.15815263237443e-11,0.000100568907158228,3.35864807216975e-10,6.91367415640347e-11,1.07010094311938e-15,0.0543058611948964,0.0623543440772236,1.37714223971633e-09,0.407290191437005,0.0111735255987445,3.92048951745851e-16,9.36160299899093e-12,1.33637511860729e-11,0.0064460197318938,2.72247912913192e-22,7.38716570977425e-12,0.0100127873480466,6.67620131123687e-26,0.038130928288259,0.000120098319778118,0.0343811052532568,0.00313396838403209,0.000855328104369562,0.00029965198730584,2.60557251245217e-14,0.00282614522554582,6.74358788301052e-10,0.0151285123433826,0.000948242462366767,1.06783145710863e-15,0.0105755239095034,9.18257499825609e-05,1.21674349327907e-21,1.10522959220275e-19,1.11538569785791e-16,1.13715693362239e-17,6.27648001542049e-22,0.000994884998116302,3.29069571141059e-06,1.33133957704729e-09,0.158650466956775,0.105594841132842,9.37881404287042e-16,8.21621258364556e-14,6.92413835459208e-22,0.00608632659625091,0.0097379399815672,4.70013657058895e-23,1.15255425124783e-10,0.0264803654324891,1.71847824719725e-17,0.00375519507446586
"X55",1.36304963725007e-05,1.66372015575611e-27,4.50684181602858e-14,4.54523986448713e-22,1.01586294980687e-27,5.20291581623379e-33,7.09679445926369e-12,0.124591988975773,0.0581131048872797,4.50167439348512e-31,0.191326168617717,9.08048666305167e-15,1.59645907176722e-12,8.08736778709566e-18,2.75859256275411e-15,1.44884709022918e-42,1.17199580841157e-28,6.93658879694319e-06,6.81925403424853e-06,2.03425066084094e-26,0.176344625970987,1.01613580089613e-21,0.10416695311588,1.55210716560186e-34,7.2630011146342e-35,0.00592726222972789,2.72985345328311e-09,6.88616577060462e-16,3.47010391711327e-30,3.54229844692426e-43,3.49428068790744e-15,2.10510688493406e-12,0.0201834739922122,5.54372186910499e-27,2.8735275790833e-14,2.70824668593602e-13,5.95802622594904e-18,2.43127390692694e-06,1.45071856601837e-35,2.06904576739731e-12,2.66590086706723e-44,9.34290508003725e-22,0.212884133022549,0.090889817661894,5.83870825911352e-14,6.53055492071248e-33,2.09077186976735e-22,4.49522195557759e-16,1.11453941654394e-09,1.00073811008876e-37,3.56687270166837e-20,0.0194038112757105,4.35675228394125e-23,0.000926226453795284
"X109",0.0222420834801764,1.82263657646165e-32,0.00157909764946615,2.51328274820754e-22,0.0871256917760225,3.90835427816797e-33,2.87416843761961e-06,0.131338524508239,0.0247348243127482,2.73812293196361e-34,0.0590465964782325,1.99013677307774e-05,1.78704681516764e-21,0.00180569423994503,8.87939896127226e-10,1.13186439976596e-29,8.84560226916846e-21,1.93656410907103e-09,9.57680718085235e-19,5.03716340217432e-11,0.339336300176615,5.16569438859719e-23,0.0803348116781877,4.69718408827021e-16,6.24849835893568e-20,6.8083737024395e-11,0.000176621880825374,3.51486906271651e-19,1.05686025162024e-14,6.38635801786815e-36,2.35074342586728e-07,4.4060248238275e-13,0.0199164810484255,1.84778695135725e-36,2.43908457257804e-12,3.06245524748917e-09,3.49490492108463e-16,2.39991696627978e-05,1.04333177325784e-06,1.52025699698123e-05,8.85907788342173e-41,6.08739669030798e-11,0.12846134650889,0.076981081482417,6.54620889224511e-07,3.834192347253e-37,1.61848559683972e-21,1.50248324716625e-11,0.00241512569138671,1.73577378279784e-37,2.28250082788699e-20,2.99794323593e-10,6.30279739623231e-30,3.56415876242612e-32
"X185",0.104945471661059,0.0408887194146258,1.04747676536456e-19,9.45921590760536e-10,0.147635603874461,3.13622056470004e-11,7.65168691019796e-22,0.0608519708962314,0.00889088852085829,7.92245537986502e-22,0.0259583223526447,1.30643924383617e-07,6.1394283975554e-21,0.0109992183482383,0.00459982849968015,0.00366018372740382,4.33310665266542e-20,5.2199198645059e-05,1.12631393456984e-27,4.94186786500599e-11,0.359572791246715,1.84214280963537e-20,2.08796867743036e-20,0.000147442974362336,0.0905093743815137,8.3443613304896e-18,4.76301609128251e-25,5.25504991789312e-21,2.32811864635159e-18,1.15992122658725e-25,1.98050267710919e-05,2.72487493423882e-10,0.00378389735981717,3.22725316745538e-27,0.00131144900541493,2.06253988771376e-16,1.42964955792576e-12,4.29736057298186e-08,2.00220068619099e-17,0.002189661068819,0.004306180847301,2.0092859331691e-14,1.462440241036e-10,0.0565748174726897,3.29317583859539e-05,1.92529331351123e-34,8.21090787289981e-11,0.00338736208989395,9.65034274827253e-07,1.45406196778413e-25,0.000698098850422277,6.57223347525304e-16,1.88076767741506e-20,0.0100055859417403
"X156",0.15886457338593,0.0164366634182443,8.96585975257322e-27,1.03714817504393e-19,6.86739658983842e-33,3.21613781548695e-16,2.95109790213526e-36,2.3192381747073e-10,0.0150008807966507,1.51558668915754e-34,0.0173899858225382,0.000840575252606659,4.24451142600874e-18,1.35301034967114e-22,2.90049490572063e-14,0.0151503619872894,1.5394037652928e-22,0.00861993830130708,1.11514497983797e-34,8.67908681245075e-05,0.275003388045182,7.09756566727447e-15,9.04395384013039e-29,1.9233435571879e-29,0.182840058805008,7.76940729495635e-26,9.20646994360848e-19,3.23992337377982e-27,1.79330625864053e-21,7.92374186617427e-09,1.02292615562552e-13,2.02405335139529e-21,2.61387324854884e-05,5.08443901132637e-29,0.013911929677428,6.20360687147161e-16,8.08328425966217e-14,1.78101008066812e-15,8.41001289855485e-12,2.78743068889218e-06,5.80455257557971e-07,6.61895005004933e-18,1.41736833673512e-30,0.016884444072705,1.18581434901289e-08,3.61930603893505e-21,1.45063373622167e-08,0.0146336265851691,4.54421645867475e-15,0.00263368639637115,0.00770270484529561,4.60899583965478e-43,7.66784378316816e-32,0.165444999132651
"X169",7.85645705488534e-24,4.53034950718111e-06,5.44828569421984e-09,1.80887568222965e-05,8.03513175553474e-43,0.00810741913042072,0.00148760672378327,2.51365490622861e-11,0.0992675151041211,4.51434443115572e-05,0.00241299747934211,3.14665976171156e-28,1.47003486094469e-05,3.08691662152908e-11,1.90754769135459e-21,0.0030607842575721,7.34827306072241e-23,5.01284763194179e-25,4.86472104906115e-06,9.63205816054398e-26,0.0350340479648236,1.71941168859373e-13,6.09153291455851e-16,0.285303467581282,8.60633541880734e-18,7.91234866386359e-08,7.11232204277195e-19,1.30339752363213e-08,0.016632042752395,1.63704823287585e-14,0.00863852177555845,2.01572876518016e-12,0.000105907069837162,5.24047443642838e-12,0.207673815105746,1.47349203933104e-10,4.26604088463197e-29,2.70271754602852e-28,2.33384237846117e-14,3.45304386405713e-14,0.00980663439604079,4.08958363000733e-13,0.0091721216669982,0.00841222485170823,5.39248978497572e-09,0.000112365882339077,0.0112203990251602,5.37183289874265e-14,1.79961781759151e-15,0.0463683448103204,1.43201866227478e-34,3.62999498069775e-16,0.00336876674333973,0.16813858336491
"X218",2.31870386164342e-12,0.000940218734662335,0.00265199156855076,7.65970774597582e-06,0.0615271623440262,0.00688232639352143,0.000214838852533375,0.000112567346983635,0.0715365741055612,9.52274487547538e-16,0.0232412913075429,0.000219758277092057,0.00450983083008406,0.00308212126366474,1.28370251505917e-13,1.22997794773824e-11,1.12192825936253e-18,0.00876227024740503,0.0470110135228793,7.85054006262964e-12,0.0073439489230485,3.13830096296345e-20,3.53733745581527e-07,0.265775298182258,2.52019368687409e-08,3.46166313752431e-17,1.27959015010502e-18,6.07902551674498e-17,1.03351655856827e-12,3.02541576729542e-14,0.00130974062802683,4.60369230492336e-25,0.0624515708333371,1.97381013412867e-08,0.313215561943373,9.36162410130619e-17,2.31558064524277e-09,2.29583292657835e-33,1.05197799079877e-16,0.00155663190771141,0.00686827817145486,8.94117016074556e-10,2.09365495889518e-13,9.13659826530094e-26,0.00164729905207304,1.4955654402326e-05,6.41849191055764e-11,0.00737598876686376,8.1451072171352e-13,0.00495379158273228,1.67726631954638e-43,9.78943004501365e-09,2.84399012160944e-06,9.60894927051016e-16
"X131.1",0.00899027656315099,1.55910923140332e-28,1.66939214823186e-05,1.27265166143958e-23,0.00295232037306502,2.45992048756195e-19,3.67532847607189e-11,0.00175968838874033,0.0443530534580499,1.05294709988708e-17,1.5725512167708e-06,0.0208194841369238,3.35497407406695e-17,0.000121292874509659,4.31054580961796e-13,1.18974275914527e-06,1.03125157415227e-11,0.00943561917783012,0.215653749459603,3.48435251841136e-11,0.00351915478287213,0.019547897417131,2.58127416046188e-06,0.0834745474783292,1.52247808074101e-10,5.54779112936873e-13,2.07612982142549e-12,2.1722520796275e-13,3.31243457942156e-18,2.44769920449774e-11,3.25839221030094e-19,2.16170149185504e-13,0.133885836948771,3.64432040919388e-24,0.316764601938339,4.58978983606583e-09,0.0103246389386365,0.0239736376271716,0.0011730043857034,0.00517418051091718,2.09698750909995e-23,2.36578538372447e-19,0.000136825599512889,3.21101617658691e-25,1.2172324763818e-10,3.83190868185758e-07,4.01198178704256e-10,0.00731884436625242,6.17518165218765e-06,0.0174667999834673,2.03789382895147e-13,5.83992824051942e-22,8.99050331969604e-06,6.34622236530163e-31
"X98",7.02350609301989e-12,3.32659932256946e-24,6.2867937287716e-09,8.56103452373395e-27,1.09613517783343e-27,1.92065115770101e-32,8.87151590290654e-29,2.59108298439932e-11,0.0703225464899011,3.17868945740262e-16,1.02312595714541e-26,0.0163224816043011,4.47538401711761e-30,7.95014807041055e-19,2.35579780276683e-06,1.32381318522887e-17,1.77134123134143e-20,0.00258143372297037,0.445065205126779,3.96877053506598e-20,2.17250928471853e-09,2.30385560350071e-12,1.61203752905894e-27,2.20837375874577e-14,5.40102142650063e-18,4.64969804057735e-26,1.27622776481324e-14,2.08737450575672e-11,5.73286527221263e-23,1.0023912491672e-26,2.05506625215128e-18,0.00270631140342542,0.0735821781377884,6.96410362864026e-19,0.172038666583544,5.16114274490718e-17,0.000695137587489851,0.0452569663731563,8.18711498092227e-06,6.18321855875598e-06,1.71612713735964e-30,6.53227260874981e-17,0.00541784170010295,6.3078977015929e-35,8.11965101235777e-09,4.22334189125774e-31,0.061469387421391,2.86981179275729e-13,0.00763047902056141,0.0440571513159177,1.06579838009637e-14,1.72304505137021e-44,0.0305711274068773,3.99165695271553e-13
"X128.1",3.7239016782735e-31,3.02406636631681e-12,3.3486775031901e-08,7.64736979260918e-13,3.09786474600317e-28,9.37659780108884e-08,2.40294280265246e-27,5.10881150373452e-10,0.0739522372575988,3.85841022462807e-08,5.31752531710473e-27,0.00181636182550598,3.21147894266654e-15,3.96654789169314e-13,8.07843573457829e-06,7.86560948948327e-14,4.86173989843218e-24,0.00161156199819544,0.414778802409657,9.91479091534915e-15,2.16543690232261e-11,4.96143838704076e-09,1.93890956273144e-43,5.93303554062079e-08,6.47507510834728e-09,4.51493983696376e-21,4.24169025082553e-35,7.87295381240794e-14,2.79087003589731e-19,1.04911591512844e-14,0.00711355366897201,6.58974516878775e-06,3.02712944857836e-31,1.34972692044914e-06,0.0230070955067934,3.15146019763365e-19,7.92790271221688e-15,0.0119749588826155,3.06885787636823e-33,4.59256638764624e-13,8.39514579779851e-12,0.00676518446125689,0.00032675362528145,1.78202801215489e-21,0.000279558963144413,5.15304079905223e-19,0.26836715132468,1.20733022196662e-10,0.0124914305682754,0.0386381229808416,6.85907561292082e-11,2.01867638877657e-18,0.11998253548276,5.82200904477212e-23
"X115",3.27727275778523e-25,4.8741429887376e-16,0.0022420267788254,0.0107061005045216,1.43528226274433e-20,6.32424338201194e-05,4.19663431230594e-10,9.17116248749463e-06,0.0458102521138309,5.5069084422601e-15,7.93757843034597e-05,0.00192179919632405,5.88226258782203e-15,3.76718198278967e-16,8.97592468847658e-06,2.38896459240337e-07,7.63097721699626e-19,0.000105066100951898,0.13740063395823,2.71932250256033e-09,0.000692090252614967,0.164788286238301,4.97630607075038e-18,0.0161670005561956,1.44725766479802e-18,2.40137920513667e-06,2.39709378147068e-30,3.14122908339e-08,3.52633062490837e-13,7.99235805693913e-11,5.62353513988299e-39,1.78403929140476e-07,7.27348500396971e-13,0.00954853958181674,7.29298163005896e-20,1.71110914373847e-10,1.22606863542723e-11,3.27140920478723e-22,4.87027754596362e-13,4.44881829559258e-06,1.81043122126743e-20,1.00126878478095e-06,1.28669785058094e-06,5.55734270580498e-09,9.61557642560933e-08,0.00530358731715746,0.361794382949649,1.62779926674524e-10,6.62152653530742e-09,2.41467977549072e-17,2.90787714115658e-06,1.71619470648758e-09,0.169238894066425,4.34062910758012e-22
"X127.1",2.20517141095307e-26,1.20434544291975e-11,0.00902618074714848,0.000180539787760548,2.70784035637624e-14,3.61026654070841e-09,1.91294082089764e-12,1.54127457016524e-07,0.0960088290680916,2.49898116431098e-20,0.00410534799071263,0.00034076213029896,2.51517641071341e-15,2.89417785639348e-20,6.22835928679249e-06,0.008770378139196,0.000811966927609478,5.52296608682061e-26,7.7227045018901e-06,1.54318307592367e-29,0.00192976781000877,0.410468003391106,1.09730722058072e-21,0.00066025175073522,3.7050725931269e-15,0.000241169608340154,0.00907782048300354,1.04840639527234e-25,1.01221282326567e-05,6.55635027967001e-24,1.03283336636617e-05,3.91671049580942e-16,0.00958020733621996,2.04817430639367e-09,8.00721816191333e-10,0.0122067155992699,6.01287070285015e-22,6.79499328773874e-21,0.0291312297113392,7.67938760729249e-08,3.74059133547042e-26,2.25819147021608e-12,0.00511506875591552,3.59476013805946e-17,2.99783408393424e-05,0.00574724723846392,0.192749525589565,8.95425257846935e-22,2.0123952314392e-22,0.0143980704928942,6.04619171979731e-22,4.18379610373072e-21,0.108093304142253,4.51886409430063e-12
"X135.1",2.00305711651372e-15,0.0263010774923895,0.00345848234510492,4.36363760949892e-21,8.16614040337221e-29,0.00377890813005708,4.61343004449032e-19,0.000197901042686094,0.171860080906888,3.55283584561311e-10,7.09558772030688e-10,1.82942939898471e-32,2.03402865167968e-19,8.07557516513253e-23,9.73220982755616e-25,7.15192236378259e-08,8.31069035549481e-10,8.60344445832939e-41,0.0227972016614769,2.42471192808858e-21,3.0776390097537e-05,0.431842047357259,1.80262207106673e-13,1.00975935353546e-11,8.3952157199292e-12,3.61312932280537e-15,0.0179566115074159,4.45141802287692e-10,8.61480929525399e-11,0.106408116858595,0.0950070813750493,8.47481460903526e-15,0.0259672690080216,1.9475923072179e-10,8.60529519703344e-13,0.000255140397048435,1.81697968045689e-14,2.48089170175489e-09,5.81981956525766e-08,3.14496356636248e-10,0.00940543789224311,1.79855982401225e-08,7.19902754799321e-14,1.04745179270712e-37,1.84921104400501e-10,0.00439787553132298,4.53172970693157e-07,0.000261455899886468,1.35373640500801e-15,0.021277948600873,8.77216438941452e-32,0.0017458765280539,9.21223290063732e-06,9.52455040568009e-16
"X113.1",0.000715563107215,1.1917982093332e-24,0.0025755419531635,3.56661021577213e-27,1.86006530494254e-41,0.0146281151770407,2.03010526552247e-09,3.88428247094235e-10,0.187192007662335,0.00216489201980392,2.34792760187891e-08,8.5792600044701e-43,2.26606619190492e-17,6.82791367297936e-09,8.88659027042557e-24,2.05520233218621e-27,1.78276043056664e-24,1.51786373894374e-36,0.0194345685916042,6.73477713468105e-05,3.2279683950287e-08,0.190692094948275,0.0231424775013767,8.23948120586064e-11,2.26859084029227e-22,5.15653663832505e-34,7.76310562747389e-15,1.47976265058274e-17,3.06721151170919e-20,0.343019391545003,0.137988183643651,1.4784862061975e-15,0.00349127974021589,7.176167812789e-10,3.12193615646065e-44,1.02089867080008e-10,6.55808409445967e-07,3.36775371192213e-07,1.92824523453711e-17,5.55877267969917e-11,6.74714030137479e-13,4.51697090036426e-09,1.00595737923541e-25,4.44663072810592e-47,4.10071034847909e-05,4.74565855363184e-10,2.27864483851984e-38,8.54940934975642e-08,6.83708992119943e-07,1.0449459944252e-07,4.66656544261789e-42,0.0227227036842972,1.20317205673853e-47,7.70584953302255e-37
"X119",2.62025294432611e-15,2.0710439072964e-25,0.00634878933756211,6.15812900855077e-19,0.0089111926997355,3.26265407099528e-05,1.30230357341368e-05,1.67388723397043e-20,0.127025442883555,2.54744555823657e-15,0.111411050137537,1.02649622113994e-31,2.79156712670128e-08,3.10406639950532e-14,1.08548292074397e-09,5.55479427432316e-10,5.27767349711927e-08,2.77875234195261e-17,2.92225120403086e-07,6.22442703361816e-20,1.55923518318693e-06,0.0234749504544519,0.0113503167174879,2.03317376490713e-13,4.54058998729625e-16,1.11521019433232e-37,8.42102372922983e-49,1.57817090880424e-23,6.26078025175329e-25,0.441110116793294,0.0819929605489721,2.35292095887092e-11,0.00825935218188341,7.43512098755337e-12,1.17715574194533e-10,0.00670634027977494,1.19093642012466e-06,2.30218341498311e-11,0.0443269479323074,6.28429500369669e-13,5.3237247979544e-34,5.1658609278076e-10,0.0118375216922065,1.25477743319076e-34,0.00937249418224103,0.0099297882291294,0.0117326468098345,1.27104046947548e-27,2.88470890731636e-06,0.0038215944783391,2.87276467456178e-08,5.86576837875667e-07,0.000615597035471732,3.43137575532412e-14
"X159",1.81635564397991e-52,0.102955937676442,3.76218803458373e-14,4.78601171650395e-31,0.0371003415019961,5.38350552407797e-19,5.81796249844604e-48,3.75977065843605e-36,0.0567639308833773,7.24694481992009e-18,0.288987355369285,8.11744117167397e-19,8.94008314271411e-33,2.04990657564997e-45,1.92755166026344e-19,0.0254899917970295,5.66346355701605e-14,1.60345421513089e-25,2.66652777634337e-21,4.90631792723295e-51,2.539559224758e-43,4.97099406153436e-19,1.78929494726919e-63,6.19401101324278e-17,0.00061751580675617,2.23687986047051e-38,1.16548912986851e-45,7.94877521872808e-13,1.09824638649274e-25,0.245717630341228,0.0161086850079186,2.66757656568018e-32,1.11374388636343e-28,1.06227645615883e-11,5.21217822600052e-08,1.76460889203486e-15,1.01679278954337e-24,3.4529692763652e-24,0.0604722338224548,5.33526099151822e-29,1.74076420677973e-11,5.40693270579905e-14,0.117242269246202,2.712087075397e-41,1.77369990252693e-34,0.00794054299597606,2.12568344384419e-11,9.93954578614061e-35,5.73305134659176e-25,0.00279816461866891,1.56553398066196e-29,1.39558686940168e-57,0.000688004820928316,4.54528803673073e-36
"X107",0.000189706884159194,0.119290176295853,2.61905684125965e-16,8.62669082796945e-08,0.000749760345206342,2.35062673283039e-05,5.11442012085474e-12,0.0347870853524424,0.0512110791843132,0.0178403645081537,0.317027980594117,1.93687814092932e-06,9.67534580815886e-12,5.21171551779258e-14,2.66965198296915e-05,0.0218398410818359,2.88676526649591e-12,4.80736651587081e-27,3.75894929142159e-17,1.02476556450033e-20,1.8256598280713e-10,0.00529072820879536,2.80372061409388e-11,0.0154276328547883,0.00978551642772116,2.16712706766135e-14,3.48287400446997e-09,1.99664933726577e-12,3.28301686089122e-06,0.0466396231180634,0.00369129154614282,1.09555250014483e-11,1.56165743073064e-15,6.7162388621222e-07,1.28225194708241e-20,1.02774700020636e-12,1.54385662397454e-15,1.72717509285785e-17,0.0103102923598477,1.86635164756532e-07,0.0027795019710562,0.000762856503754339,0.32792318021591,1.7572019197356e-11,1.64639237210448e-12,0.000102245547660903,7.68664929940628e-13,4.30640841337857e-08,6.80224867098984e-05,1.30421942780756e-11,2.1250510982218e-22,3.75128839368867e-14,0.000501380404154428,2.94331191378727e-12
"X94",3.02993284552337e-08,7.02463880938915e-20,1.40216367157402e-07,2.33281281297329e-10,4.75595740228816e-14,1.80103261206933e-08,0.0346984417509296,0.0834744865199986,0.045093175504635,5.75712467789005e-08,0.145687939655174,1.22880645266975e-16,0.000105500297418521,1.30466404699033e-11,8.05221347938349e-05,0.011937764723713,0.000778823603845107,0.000454794967814749,1.78066717881194e-14,1.43427721307282e-14,0.12617714374919,3.10637208429276e-12,0.0780219638281183,9.37799293575662e-14,5.08997453058431e-30,3.83925354298669e-10,0.000388210274862779,6.37136371048865e-18,1.0757425546153e-09,6.87299917025653e-32,9.81155579581154e-10,2.94313686969877e-08,9.99829933506361e-06,0.00715587901920386,0.000708492514996077,0.00892207936940334,9.57482423751109e-16,1.42573215997774e-06,1.18701526623334e-24,1.85036475673141e-05,1.68474695973136e-26,0.000517785048997309,0.404025829703678,8.19092299673135e-08,0.00112978674510876,4.7737433643237e-12,2.3817487473433e-14,3.22478677278834e-06,2.8492996306309e-07,5.18327538497013e-06,1.32814559202998e-08,5.96468547339094e-14,0.00802939798035515,0.00995805942508829
"X145",1.24149995053649e-06,1.08149914465946e-49,0.000109425174751625,6.75546468017144e-16,0.149405179623162,1.61328154571901e-11,0.0624449688675603,0.0568636200853413,0.0106253304254359,5.51361538853434e-13,0.0219988094000969,1.4628176020248e-24,4.0773482509209e-05,0.00202157703292624,2.11336799554891e-07,3.35286190751919e-15,0.0113562282761111,1.45488263880777e-05,1.53619567925296e-18,1.56737601574406e-06,0.301540795153691,9.48868824627721e-13,0.049519193844127,0.00484925728417437,2.66260705137566e-14,2.77187131789541e-10,4.02833491855093e-06,2.90940213373336e-16,0.00728568400954943,3.20302701882265e-29,3.47249171339937e-16,7.434212902731e-08,1.46409601838379e-05,1.5813190548385e-14,5.98487773564861e-14,9.24768304724218e-07,2.7202377496406e-12,7.56234690595729e-05,0.0105444134603985,0.000151751436408443,1.5636762023318e-13,0.00439176094612951,0.253996788989051,1.20263674133023e-09,2.48355643591564e-09,1.58063759006931e-10,2.28203674540229e-13,0.000656809890869374,1.40122410018088e-05,0.00479814230478355,1.48910077619524e-18,1.53236084968105e-05,1.96002259358113e-10,5.11325749888117e-27
"X160",0.0111738674560102,0.0262974835660192,9.62445270627202e-09,0.000152903006069339,0.221903532800978,9.01490247559175e-10,0.0160653076392227,0.00205130814878653,0.00328019664686963,0.0168381064545033,0.012083920785077,1.36284345697975e-11,7.00821557734245e-15,0.0109681000023077,3.18696292148624e-05,2.99963922473233e-13,8.3720429380674e-14,8.78781023982204e-17,0.00520548023802686,0.0018199391364892,0.362191788802012,2.29449064671451e-16,2.4212526414017e-07,0.0139480453685464,0.158505190006802,1.80805623221913e-16,1.04861957080042e-16,1.97997212419251e-09,4.70712918453834e-18,1.67668282967309e-15,5.43458651892108e-05,0.000262937930811858,8.57620277456584e-14,1.94960656512916e-18,0.00422743017789993,2.21900038509106e-19,5.32372164312655e-08,3.10840830997597e-10,0.00190399143876581,0.000194741125942129,2.87268422294784e-08,7.48291767982243e-12,0.0573138194992891,6.0333989142597e-18,0.00468353070626357,1.15778000885873e-12,1.86920493828068e-08,1.68128007767688e-07,1.76223121249522e-10,1.88521976097857e-11,1.49980226261686e-10,0.00792471729624329,4.61156260848567e-05,2.42027557425242e-07
"X136.1",0.0554493142847,0.024639655583671,1.74099065314828e-08,2.84718740740503e-16,0.0208095326282884,2.67397701552825e-10,5.19210093413585e-05,2.96054403498096e-28,0.0105525053811115,1.93251311810971e-13,0.0104972310658293,0.0010512080037827,1.67007712469364e-08,8.94517518665141e-16,2.51677930917317e-08,0.00220496131872921,3.54166997667498e-12,0.00144749480890651,1.39361163700753e-10,0.00298692435242475,0.282506868658781,2.67782929759901e-06,0.0147238092482159,4.62921951308287e-22,0.270140694617909,0.000925584967677234,1.53470808088924e-11,1.15230815090494e-13,8.41658899054318e-24,0.00116906197942999,1.02004514121736e-05,3.92339653073547e-06,7.02300214266479e-08,4.30806064547297e-16,0.0105584949503662,0.00239864906438316,3.30892807332275e-12,7.42454375689945e-13,0.000873268022448626,0.000501450694447456,0.00673193124795081,1.00817557409249e-11,0.00261207031399107,1.66212659563883e-17,0.00774491939888837,2.69685869109265e-10,3.93083944840173e-10,0.00613755587096037,6.22023677048884e-13,0.0190899191920366,1.02821953593808e-13,1.13052489804001e-19,1.34626313700512e-10,0.159789763151367
"X222",1.20456130761454e-21,0.00643014449041444,7.07740018387246e-21,6.09124112665149e-10,1.15569441528668e-47,4.00830324980103e-12,8.8781757849784e-09,4.07671231705017e-13,0.036152320115952,8.15010494560125e-11,2.93696693019749e-08,1.99455015466077e-15,1.03302736883707e-24,2.79123488195645e-05,3.51998462277896e-19,1.15850192885493e-05,8.58378879728592e-19,1.16286176577758e-10,0.00600345229355851,1.09540747441939e-17,0.0270696376093716,7.60657622664063e-18,2.92111907574777e-22,0.375153002154761,7.73735619062363e-12,2.60645565833796e-09,0.015993604169033,5.22934217685995e-10,0.0258502404427606,2.15015682707867e-11,0.0121172528278173,0.000250353129607075,0.0734807046396639,9.03040268147072e-09,0.142302018625548,2.6073442341561e-14,1.73552551998542e-31,1.94343162083845e-07,5.41610253060358e-05,7.20878687499521e-12,0.000269825885609024,3.21561473352964e-14,1.04407110391731e-09,1.60675866294189e-05,4.87239596142526e-06,0.0012029878698165,9.73939194893306e-05,1.99478656252035e-13,9.66578084977072e-21,4.61402879150785e-12,7.03689656274744e-26,6.6389619277495e-16,0.0159354837616326,0.152059589425222
