"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52","r53","r54","r55","r56"
"X123",0.0104302553784219,0.00489803469516201,2.98170630857503e-13,0.0477854521626612,2.250622679542e-19,0.0284470350992415,1.63687340772913e-06,0.00768755123798168,8.40350433339062e-10,3.79399080361137e-32,1.31889061099322e-19,0.00561535995852246,0.275867075406362,2.09007502682407e-12,4.6460238196271e-18,2.84008629248841e-07,1.80968444302395e-22,1.53012200169867e-17,2.45612070510548e-20,3.47902631543538e-40,2.29934986912904e-13,1.33622900650385e-27,1.87863855086441e-23,1.35662121979167e-17,3.72842161438925e-20,2.73521920067693e-22,0.221652049950227,2.71414995294401e-14,3.92271612204266e-13,0.0143912170755725,2.23104995772948e-34,8.65234734058715e-08,0.246002759352499,1.87054299987464e-23,4.43144453927622e-22,1.01731936041835e-30,8.52139903764546e-30,1.234928424723e-15,2.01307216574208e-25,3.00185007361055e-11,0.0341149423555456,0.0127694965322732,5.76472781502811e-07,0.00595439119169829,0.0279877162714908,4.66628584996734e-34,5.3862896083525e-18,6.62718854477647e-33,8.03171142263414e-30,6.33271426897676e-20,1.02951936218967e-15,1.25590137402317e-22,6.39890152023398e-34,7.53329689000006e-16,5.38905225323539e-15,5.32963071131828e-18
"X63",0.00824172843148682,6.5352053568507e-12,2.23899660101888e-24,0.0533978799368469,1.26743629769084e-20,0.027504659806478,5.77236376553123e-14,0.00630746985871037,1.51467863165323e-14,1.54538871868115e-22,1.03233913079039e-23,0.00464654591396672,0.242199464537333,2.4689168918548e-11,8.20227459410699e-18,2.75508604293942e-25,6.70095200915136e-29,3.03067120272141e-22,2.62897543358229e-29,1.68820122789721e-28,0.00103894476871132,5.36633474074199e-25,5.01016604355821e-08,1.35674920116128e-15,1.32147450858142e-29,2.09484287237888e-24,0.316895977501139,2.10629720493101e-13,0.00592557030184685,0.0122305539440614,8.39028545660581e-36,7.56036766019841e-29,0.115293912770401,6.39002314847483e-24,2.31382327735521e-15,1.06645150060427e-20,8.34766020106695e-39,9.37863645224387e-09,1.78543858622436e-05,1.08761721851446e-22,0.0245580058595944,0.0263252631829804,7.48267017614409e-14,0.000427831145243681,0.0853472294292106,5.11680127584653e-52,3.24052146696913e-17,3.40237719918175e-09,2.54512046305951e-50,1.01601590899145e-13,7.93153334360685e-28,3.48674421969454e-30,0.0121188161541135,3.66835387431667e-16,1.66697964565177e-06,3.34783185367174e-19
"X111",1.11118878005164e-08,5.44824220997199e-10,2.29729800195735e-10,0.0512681245892036,2.98933034871347e-22,3.26984769298159e-18,2.73589689756677e-23,3.8255575711255e-13,7.60934836600133e-06,0.0172650717748529,4.89312768824554e-20,0.00128860408924893,0.212341033901325,1.50077098848605e-23,4.27627998056628e-05,1.81228074289771e-19,1.89706214033364e-21,9.72055146129293e-27,1.42025468656231e-16,1.32738230283926e-10,2.80593788463365e-07,7.4663449841614e-18,7.36353895482168e-05,2.27549470089826e-13,8.60204327727213e-22,1.77658758182018e-24,0.387237914989958,4.28445201833979e-27,1.08982740965674e-13,0.00730368623859189,2.45328655139796e-21,2.10664785921572e-12,0.00441134048298265,2.26031663313834e-13,4.12880187602559e-16,9.0634534697596e-20,9.64592104294235e-24,1.06732221766237e-16,1.16665145566598e-08,8.91993763590221e-23,0.00298621529893191,0.0290206247998344,4.55714586818455e-19,3.18443136729743e-08,0.148068240797909,1.79768172012989e-17,1.57894320799927e-18,3.67228703649762e-12,2.9461746378715e-32,1.57108810701774e-12,1.78423964810181e-24,1.73005149374696e-20,0.0940931779562797,1.60032239573815e-08,0.0217383586063071,3.27744634981226e-14
"X127",1.6935639250431e-09,2.13220423700173e-22,4.30977759217862e-24,0.053487331319611,3.66783484689377e-16,5.23751378459433e-34,5.54070205994022e-27,2.94629877023482e-15,1.24230012897008e-10,0.0180786415334536,2.20429062302416e-11,0.00982261058445969,0.17772811249372,2.18657316297201e-13,1.93542603442774e-11,5.33147825427261e-26,1.15423008045303e-28,9.44572926692551e-26,9.02151911368318e-21,4.04371118515166e-20,0.00456435256085897,8.06460450130582e-08,8.84120273856454e-13,1.91492590269481e-16,1.02661211772535e-19,1.51497987049207e-16,0.341732735688409,1.12564126712626e-20,5.75220150082449e-12,0.00170456872136899,6.5523424194291e-16,2.37678636174507e-15,1.96921345475833e-20,1.7329101618169e-19,9.46091962854956e-25,2.16402430933619e-15,1.69874493891395e-07,2.50647013721719e-10,1.91836889808281e-15,4.27361202264085e-11,8.16126365394284e-20,0.0226787820973362,2.38632985878816e-10,4.13201876837019e-08,0.176958184594903,0.143237580308372,3.42759711377999e-17,1.29788818472284e-25,8.31903077354185e-23,4.43487184634541e-16,2.07209681028496e-41,2.5961949093153e-20,2.35742649570161e-39,1.70678310554627e-15,0.00807984924229158,1.56045925452532e-15
"X139",2.02603780745681e-18,1.92373418111628e-12,3.14206695551116e-12,1.04245366823569e-33,0.000179854258443116,0.00339653712765798,0.000462213065890221,0.0313078776469898,4.5625382932845e-09,1.18347430484398e-14,5.87737548368685e-06,0.195624706207313,3.18563590501664e-16,1.64387001454819e-09,1.30128373554498e-20,1.07082879806285e-18,3.12130037636004e-08,3.68557641010128e-07,0.00117332786810547,3.69098710584427e-11,4.67210344057571e-25,3.12607536831604e-16,2.21841743697454e-15,1.00188175441611e-05,7.63760470918942e-09,1.17757058477027e-10,0.185056903574188,3.79118864004383e-05,5.81494234095382e-13,2.09504083585472e-16,3.3277448285851e-13,0.00858435655281078,3.15370417940508e-06,4.37742019359761e-17,2.91839841353881e-19,8.37016605109162e-09,0.00841690074436377,4.57026759447104e-25,3.03095787572476e-25,0.271666743298542,0.000672944979260875,2.87803553465369e-63,9.35295843112243e-12,7.00237688624006e-10,1.22555350629316e-17,0.171649498119215,6.22756544644089e-05,7.12230325628288e-09,0.0244358463495419,3.3840723831137e-17,4.5517640478008e-11,1.2178110644784e-10,0.00794702123361403,2.28006070438631e-19,6.36519008146535e-19,1.89005389772588e-15
"X131",4.92473694875187e-21,0.000365528936943683,1.015828273289e-05,1.05642358559421e-28,0.0035273690044355,3.39324559676361e-15,2.7725916883327e-09,7.57175477667925e-14,8.19490733463339e-23,7.84389397865762e-22,4.5638358409903e-16,0.259381816448188,7.18203421601419e-28,1.77536050225794e-14,2.86965545632525e-13,2.49292051353023e-18,5.22587312505172e-10,0.000144836014558285,0.0196912408945802,1.82676082275328e-16,6.89885922971856e-18,1.90089033934744e-28,9.19705014848005e-15,2.63642333513363e-17,4.48241866182116e-19,4.73829276221634e-29,0.144418562970571,2.61080181948615e-09,7.96282754000181e-17,8.09738242662214e-12,2.59185860865877e-13,3.80896687105552e-11,0.0149608506465701,6.41505243707221e-20,1.60769144410196e-16,0.000528692157273279,0.000307035925064434,0.000822935524222809,1.66650988097861e-24,0.272459736176084,0.0341567007345579,8.08345816692414e-10,2.24884248426691e-14,0.00095441845609156,3.98444320386835e-26,0.0132687255230012,3.18019503911225e-06,3.39757557908378e-14,0.0188332826637211,7.42544402739702e-12,9.48444169769242e-20,2.57708884786033e-17,0.141052940319067,1.44053914741923e-18,1.73409200069978e-23,8.34620096376916e-15
"X102",0.000164465338392183,0.00517225843003477,4.32325731957511e-11,1.37251932836541e-20,0.0113892605382995,2.30084861103715e-14,2.73453866237792e-07,1.20481834367355e-29,1.70607413874621e-24,8.35392413048255e-13,2.79999323479985e-19,0.283116119372489,4.47291580350005e-17,3.66440232004891e-18,1.17801667197151e-16,6.66259118148116e-12,6.1874746265396e-07,1.50332848134252e-14,1.50480127807144e-13,1.11325752185536e-17,0.00148236874935215,3.66838874599945e-14,5.2455533945068e-20,5.19048022389916e-17,2.74860985863687e-10,7.60268938193311e-33,0.0453009429045508,2.10908373826633e-20,3.67943423355408e-05,3.47883115286275e-07,1.68647409142655e-05,2.03405759227478e-11,0.0159191477900485,6.76516952885431e-13,6.49889980287402e-12,0.00426013907878757,9.4863274786205e-08,0.00568900168518185,4.98877544499199e-10,0.175715741834543,0.197713814772595,0.106219203084798,3.58709188938099e-12,0.00738954540162362,0.00208210990674871,1.85151809451132e-42,0.000103426467919957,9.72737886412795e-19,0.0199934925144607,8.91563198410652e-08,1.50659510570563e-26,2.42127837024807e-10,0.0321601671674022,6.29143634803253e-41,8.6266274628653e-16,1.71339730316322e-23
"X54",0.000741875549173767,0.000393579759496921,1.19111818457052e-14,3.91327690531282e-31,0.010842154997209,2.43448269274814e-10,5.06628338274418e-13,5.32856121602109e-09,2.72771803352222e-08,0.00656894929861614,1.62679812158664e-11,0.252641432734934,3.35190020939734e-07,2.79148878777919e-08,3.2452733336109e-16,1.64245692681168e-15,0.000305100491802837,2.47953276489391e-10,2.94082897516443e-22,6.31506065348009e-10,4.61819610908332e-09,8.85177060688625e-05,2.87862034115813e-11,0.000501531114957205,1.28474306063031e-05,7.70072480133373e-08,3.15823831561776e-32,1.92889612473803e-07,4.20442343900542e-05,0.000969484472457534,0.00417818075053642,0.00203733930607149,3.87432597318e-11,4.67058953451864e-05,2.38792322437519e-12,0.00553194374953895,0.0337494949069518,7.64815760951225e-08,1.84773459024828e-05,0.0694560660340672,0.372118558547447,0.115745180150131,4.22451077518533e-05,2.56286617158287e-05,0.015092669286023,2.36814865247275e-17,0.00433561326196409,1.63467736004875e-10,0.0137269643410233,4.2038068182571e-15,4.44088078436795e-15,3.68628230182371e-16,4.89995408894753e-33,0.00264871300728755,0.018483712965438,1.15725169812254e-10
"X89",2.93779649005876e-25,2.21427750920186e-05,4.94681186419657e-09,1.02935611594083e-18,3.01167839334456e-07,2.04832341571533e-17,5.12932641688984e-19,0.0165802343715358,0.000268788065403271,0.00366425783901021,2.25113104143774e-09,0.154316522676757,0.0202605844117428,0.00242703666659743,5.71100867322319e-06,1.29678976540071e-05,0.00017895274294876,9.57277391329697e-17,4.34582586902441e-09,6.7976890865454e-05,7.88059504193209e-07,2.1661256116541e-13,1.06767693534142e-10,1.86286978294186e-07,6.76532376295135e-15,0.00497871365005285,1.12673883782062e-45,0.00322478971489556,0.000182263499296501,5.0177916376251e-14,1.0483842322776e-20,1.92556925268227e-07,1.393110444424e-06,2.9856992812798e-07,6.07854632182076e-16,1.98288454518321e-16,0.169076123211283,1.73645499359307e-12,1.60835247259226e-08,0.00212344818067917,0.381759735673065,0.0448253999430894,1.94616262256802e-06,1.12058046406659e-19,0.00806977150572218,3.36976134525397e-10,3.6712262233716e-07,0.000276723740714223,2.90418602992493e-07,1.93388327982646e-21,5.59138584700227e-20,4.87896666492243e-14,3.75085723505973e-08,0.097627567555129,0.0219353558548971,3.48354977143154e-12
"X162",0.0030683662806997,1.11306604011857e-10,6.46272570533086e-09,1.21156564207594e-07,5.93106240406787e-09,1.25115586661054e-11,0.00114156440814286,0.012107267700255,7.96382074683644e-09,0.0249753714603376,2.84101115215175e-10,0.0480199586024783,0.0607392516191886,0.00371528621113173,7.69956967833198e-10,7.32879608519868e-14,6.13992485128116e-05,2.20121613464466e-09,0.00165900390102313,1.32452743068836e-06,7.8557056657061e-10,4.77472405599657e-23,7.3353789804322e-17,1.05019967849734e-12,2.70925559860997e-09,1.826622910053e-17,2.84745811009373e-13,4.53150597435139e-05,5.87334053723251e-09,1.55620509399098e-15,6.54783850715989e-15,9.04930599183161e-08,1.17039886333857e-18,2.59920669326938e-14,3.00576122013235e-23,1.28289216701434e-07,0.367209783656514,1.12032121698879e-09,5.40977567765277e-17,2.46797863936451e-16,0.238928437165644,9.89173380887815e-31,4.00823602288474e-18,6.85340091748641e-12,7.03631185917037e-11,3.10966669473625e-06,3.40517086980651e-11,2.22421210888638e-06,1.78235492685974e-06,3.23628374757763e-08,9.78817249856674e-07,4.07487469081553e-13,0.0123277940688431,0.125434872352854,3.32563797586317e-40,8.48317735504264e-06
