"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47"
"X79.1",6.60258258641816e-21,2.17110396132755e-15,1.19271724202259e-17,0.221998103023909,4.80230298857438e-21,0.0425435968859198,0.0221487865323736,6.86947254652336e-31,1.64117366509331e-24,1.69002962369553e-09,1.29015152001722e-20,1.36115039317627e-12,1.13382253102104e-12,3.38691541083163e-05,1.20006837267648e-17,2.24929947320278e-18,0.000106874370702024,0.325310005194678,3.40591577664961e-12,1.94465745156133e-33,6.04179697861201e-10,1.1581796492439e-08,2.10791440459607e-24,1.1323833693118e-24,2.43380447186136e-21,1.27955382544896e-11,0.0942804367145586,3.13157034721051e-17,3.92478562325818e-33,0.007229994630333,0.00919416176992276,2.04217835935683e-24,2.171249194305e-07,0.000133835236132842,0.112718689813167,1.00555687795324e-20,0.0128938237869176,1.31245736584846e-27,5.69189275064452e-35,7.27298299978321e-30,5.39562004682516e-09,5.3977700474419e-16,0.000181763633903265,6.4383544341494e-25,0.00514065479740641,3.15484311169305e-24,1.50519502373356e-31
"X97",1.73692335974761e-19,0.00518998462607496,1.13487801510643e-19,0.0850345288172616,1.10703035287647e-12,0.0229914763758757,0.0216004082969405,1.22318179031169e-14,1.45188645470417e-19,0.00086445593679134,9.89438382320282e-10,2.58767316267164e-13,2.65613755293541e-06,4.67910229633559e-07,0.00631173553114794,2.51101778194685e-09,0.00218572631849966,0.351624022618736,1.63836016830482e-11,3.48782303457859e-18,0.00446323555044512,5.05552563166259e-15,1.1459090112195e-16,0.00771232637969282,1.81875771592841e-12,6.99264719291731e-15,0.196290972708229,2.2349192168913e-13,0.029186502469278,0.00115016406663602,1.08439664409424e-05,0.00145483839983212,1.12379067329439e-11,0.00281104389783503,0.109846614415091,0.015468766015483,8.12324543887022e-09,3.725728419048e-20,1.47272690868455e-19,8.48165296940722e-15,6.1587234298171e-09,8.73258007361833e-11,0.000141419909049287,4.1616003825819e-29,2.04230226076771e-06,2.33014562434318e-17,3.01479324820437e-06
"X123",2.01906677883195e-09,2.07834342478022e-05,5.76324925420945e-18,2.09912493799248e-10,0.00879550545627531,0.00234963038789326,9.94858372376544e-05,1.64079779974266e-12,9.81487970987162e-12,5.05244664821531e-11,7.07287464360795e-19,6.34358580807927e-21,2.63213696592602e-10,3.24098296947382e-23,0.00535247055287767,6.05075717029001e-06,2.8345290179064e-22,0.32805508782911,0.00273728735695905,1.80500539202037e-11,1.83162104780097e-08,1.71656450091321e-18,2.14394896262897e-10,0.00850625535819162,9.16793560691839e-09,9.14994686952078e-07,0.202674898744431,0.00978817394441146,0.11183755554301,1.64167544345382e-06,4.24533750740493e-12,0.00613529215137857,2.63268644610082e-07,7.78084669526816e-20,0.104374240373782,0.039178510842642,6.00074768050614e-23,1.28418967792029e-07,0.00232555103165464,0.000131270313366359,0.00189578409665338,2.32531742716605e-06,3.01316169503363e-08,8.8135285135706e-19,2.8421451756581e-33,1.86039670383798e-15,0.025885960032233
"X63",0.0003211881481569,0.00402582734675178,0.000309147996675995,4.65769738164541e-28,6.00208098419004e-06,0.000257821923364026,5.8172665542566e-15,2.40239506137909e-11,5.6997342740311e-14,1.21996990986318e-17,5.26469448848437e-18,1.73134374542689e-14,5.458598118198e-06,8.83395412520273e-26,2.22220728009317e-06,0.00308069776539408,6.13582062112203e-19,0.29074236777892,0.0080564334374215,3.19608006698694e-09,4.56822592426021e-08,1.06953587195799e-13,8.74819491079498e-10,0.000469655612822963,1.19904613686433e-17,3.64733697067838e-11,0.102386283963479,0.0197145067834392,0.210140247338031,3.49591657409203e-11,8.81694149803961e-26,0.000819459259228876,1.29037867775335e-10,3.1427726375514e-13,0.106160378268445,0.0461799123941251,3.85269356040076e-21,1.49962199025794e-05,0.00489238054710575,1.90525846653778e-07,0.0101168922051039,3.86584236851486e-08,3.6587457578746e-18,5.73074659292738e-08,5.77476114838463e-13,3.09883994420428e-15,0.032160532346147
"X111",3.75024783535572e-12,0.0536901832168725,0.0104701469081639,8.14064442166309e-23,0.000117933078259167,3.41801255158169e-05,7.53786028024884e-32,1.60575153370051e-10,6.42601594977843e-21,0.00472078337252823,6.82887566725459e-20,1.64840790051175e-08,1.66868542786627e-15,3.33848496588552e-19,0.0001514237110835,0.00593360413072527,1.36744299148708e-16,0.259227390968093,7.81620881036285e-12,3.16296606301039e-09,6.04254699949681e-09,1.3752020955004e-12,2.3498223205277e-15,1.00862018071308e-14,1.48238103069564e-26,2.61625026820677e-20,3.28099847836243e-17,0.0157548455823835,0.281062594900313,1.55566489271298e-23,2.57253082700857e-33,0.0127176033438656,2.52010847942456e-16,0.00258851213750878,0.095077778010347,0.0554912073176348,7.20624649692115e-24,1.05507278854291e-21,6.07165741617837e-07,0.000120388915568974,0.0113940663912804,1.05313617855196e-08,1.9601108195973e-31,6.95399342422617e-05,4.11686315296544e-17,1.79450824460889e-12,0.0100038789064894
"X127",1.45200271316474e-09,0.186200610423868,3.16383856297653e-18,3.85884189927119e-29,2.63671213382369e-09,1.37302924675616e-07,6.70657041776607e-53,2.91073602966538e-11,8.98950361047801e-14,0.047857373475685,8.47550136101992e-25,1.13802776331318e-15,1.55482822932226e-24,3.17908916257869e-29,1.31438085071679e-19,1.18752374365376e-26,7.89033273023089e-45,0.220235648474664,2.13198223308783e-28,9.75596003072024e-08,5.73098828868669e-22,5.3157107008701e-22,3.36402569647366e-27,6.05072706752766e-13,0.0181902922689121,6.92960016997055e-12,5.86151475394177e-50,2.17731677119097e-23,0.24295745447394,4.09487634090929e-25,2.73684981026974e-22,1.68105458733083e-19,5.44217770706963e-22,8.1333381235131e-11,0.0852998436482438,0.0648174204582326,4.42105694326031e-20,1.58810571137255e-20,2.98172462389055e-15,1.64433182386507e-08,1.78223419777876e-05,1.26064005909649e-37,8.38558827633171e-41,4.13469132764998e-08,4.77197599425011e-17,8.46208091183995e-27,2.60788993024134e-16
"X139",4.26927203759688e-16,0.0573171210135208,1.51070945588113e-11,0.00958033499425082,3.58366977225086e-19,0.044056680651775,2.8336437461286e-10,0.00750102399403005,5.89968600555844e-22,0.00809607585812459,1.08943537100022e-09,1.1346532089816e-27,2.16258982070851e-16,0.0131401985492013,4.71552002594814e-15,3.67727235983146e-22,0.000525259697135373,0.010818838254965,2.13879975984466e-16,3.66844261737533e-15,7.83040843474712e-15,5.14303286076735e-20,0.000662182456281695,1.1376714204275e-15,0.163990729190654,0.00105167951983804,0.0253534140820014,1.06500595913286e-26,0.0126118392625185,0.0399210949325907,0.0222224653834637,8.1977394352047e-06,1.24702505962177e-09,2.39524280263691e-20,5.22368737566489e-16,0.390028588170654,8.82976032935549e-22,1.93904612833241e-09,1.50693356209581e-14,7.33629513406154e-21,5.2744877694319e-16,0.0033817187743207,0.000704677258983015,1.55282937663812e-15,0.00760495123635211,1.7618388610106e-17,7.64362687675475e-17
"X131",6.36698081384319e-13,2.50959577950138e-07,0.00584486065965825,0.00404044565450772,1.45241264410437e-17,0.0898382611382943,3.49881810713001e-07,0.00423521940202112,1.13964975563253e-26,1.12789304287161e-07,1.35660873431405e-18,4.95729264119831e-17,0.000977721609121453,0.0107301730694498,5.90201060380206e-12,0.0251860592493553,0.00418649393456656,1.92946598991718e-05,2.49470316740281e-11,2.82736443810885e-19,3.45935279217128e-06,9.04791417979752e-18,1.98179989628873e-19,4.5022053635055e-27,0.042253555172446,3.37153479458481e-14,0.0585380769333366,1.09284668557082e-05,0.0011894102215404,0.0855745458815135,0.00559382728457826,0.0136909373753348,5.7595033551223e-08,0.0130042793946097,0.00709246487278899,0.382425243008883,2.79681903635538e-19,1.60028454853212e-08,6.8632739813257e-06,4.5081042741262e-16,0.000261587436712133,0.0054139873317685,1.24047258463063e-05,2.6289327691608e-19,1.96814643992507e-24,0.00486232884518753,0.0276080715110469
"X102",6.53532613802139e-14,8.93386237275219e-30,6.59712959893396e-06,0.000857471048896201,6.83237863769446e-12,0.196090701867739,1.5815558700026e-18,0.0036850761226768,1.27795094554114e-10,7.01093226304856e-21,1.21520442423095e-20,3.50635671562939e-15,5.65941339598369e-06,0.00525527004210246,1.29779343629694e-11,0.0159045752560624,8.2888189451271e-14,2.13550799078541e-25,3.62472630525844e-11,1.70131373565533e-17,2.27249482397574e-11,4.63433642606068e-08,1.28739207106287e-20,2.15304328031491e-14,2.52921380926846e-33,3.7121947904837e-22,0.101851555194802,6.47707523823363e-11,7.19950485385341e-08,0.146702388709775,3.64847536097087e-20,0.0118136150902135,2.94017206741918e-18,0.0144602969163157,0.0195563499650134,0.231595790701692,5.15488267346839e-15,4.6619933939473e-06,5.42575925740965e-10,0.000124208591809455,1.78656348251145e-06,6.77858992321516e-19,2.67695843151276e-24,7.40044366851637e-15,1.1896835042573e-36,0.007454337759236,0.0516495199830066
"X54",2.85665218805082e-18,6.22152439676744e-22,1.62747191104492e-12,1.53301651881844e-13,1.0408206313887e-20,0.318685374848079,3.22371629940905e-18,0.0106876278064069,4.75716984573409e-14,8.8028553659152e-18,6.11355287964799e-08,6.0716784827658e-25,0.00218278815959844,0.0254793126899135,0.00439066310864197,9.4567172058946e-11,9.44298021866851e-15,1.96031325524635e-33,2.45572513135584e-12,1.24675472129547e-08,8.92762197231843e-18,4.76251185584903e-10,8.15121368046157e-05,0.0116566004972252,8.59867884759502e-16,1.39735322903877e-32,0.121109019048774,7.41282724696418e-19,0.00385696261779574,0.149080432300071,1.00661824166692e-09,0.0120027151294968,1.30169073535914e-11,0.00531185619174703,0.00387125617708082,0.0745184136934059,1.68356231248468e-23,0.000381479698355419,1.26142379576911e-11,1.0949421257298e-20,5.93959716703527e-05,6.08764814072908e-16,2.21877566679377e-34,7.1630018240797e-17,2.76845204996776e-20,1.95801485839974e-12,0.0947486220935665
