"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48"
"X79.1",4.30467410454442e-05,0.00152629287665358,4.80934564621175e-27,0.000152783115161022,2.01961401145954e-08,0.059090419078625,7.77920738492259e-22,4.60541968183928e-31,4.41556325750458e-11,1.70100939091905e-13,1.87517940995065e-09,3.42298084477079e-14,5.87549058724596e-27,1.26369498411921e-21,0.000204822349179825,0.248070963029679,9.53213104549068e-22,1.6849933421599e-08,6.43941419244993e-34,1.06554902228816e-12,1.8629825896021e-08,0.0824891552960226,1.65475956121857e-26,3.0070220126755e-05,3.02919689191436e-35,1.85940699100829e-18,3.2297443124748e-19,3.87783356015334e-26,1.74786593392198e-30,3.76827433181823e-16,1.86512460587859e-13,4.71610750340917e-24,7.47215115655266e-14,1.49412907897617e-13,0.000111624411531144,0.0112470983989396,5.65373168522107e-13,6.01714356911362e-27,0.278793066300027,6.5996634747885e-26,2.25739645608322e-13,3.5364452474313e-19,2.56763672229479e-15,0.113315198895071,4.85806310730428e-05,0.000150175055064864,0.0360348515986567,6.56098473174203e-10
"X97",7.20652007783132e-05,0.00553655448496611,4.40180231725638e-21,2.22433853048955e-12,4.83647756152294e-20,0.130792363604754,1.80422317513049e-19,3.57602529792554e-53,4.38820685752671e-16,0.000127175885801138,1.01392094806652e-12,4.10740636853074e-16,1.24845382672155e-22,2.23312903139594e-08,0.0088223589500544,0.164886539595253,2.22717366842495e-30,2.08953384016397e-17,1.74705760702013e-27,3.12343312606251e-14,5.85372778571658e-15,0.096692766901943,3.35382837002916e-24,0.0028962750161308,9.58988950779279e-57,1.71291362776065e-09,1.39337329608961e-24,5.7311918290577e-16,2.41052433738083e-38,8.29534118516667e-18,3.8471608284253e-30,4.44695304077545e-25,1.07581594216528e-14,4.43782477899416e-19,1.1280078738811e-09,0.0104238600175354,0.000941309334554745,1.41968740620905e-26,0.160737061175364,7.76471805198536e-32,4.79377431892808e-06,2.48347527293216e-29,7.00901796966696e-12,0.231659759959185,5.80561580604468e-12,0.000225515375761499,0.015507180094005,6.69533456085921e-05
"X123",0.000989415526958182,0.0352017027514493,6.73548015696488e-16,7.01572906762308e-20,7.83922079672387e-14,0.150176415886805,3.05253640419104e-25,2.54688318637144e-22,0.00141079393351671,3.67814833364126e-15,9.46971664945283e-05,0.00504517836119871,1.81590343447342e-20,3.8583768016985e-06,0.00505230646561108,0.109054624340288,9.79868815120507e-18,3.61876066032929e-22,2.62017628700973e-12,1.57979714397275e-15,4.59007276820472e-23,0.102394541445351,1.0062785349615e-15,0.0244987151318821,2.97666393710202e-18,1.83266137801801e-12,8.34477879531106e-23,2.4672778109814e-16,5.53570090817483e-21,6.42478967840212e-09,1.8135696812737e-45,7.11485277374141e-24,0.000255883244037683,6.45292879156414e-27,5.69657986873881e-30,0.00312917321522949,1.09989223300993e-06,2.98402203766835e-10,0.0415325397516868,6.16447040609303e-14,2.68878381041484e-13,2.1661875648387e-26,1.19863695267551e-14,0.342220054694834,2.30553123718982e-15,8.74113015816937e-13,0.012301086894617,6.78245351060407e-06
"X63",0.00268416713541122,0.0538849126740063,1.55963461057164e-14,2.06566342926177e-09,0.00156667103036874,0.0774902909937054,4.44487633065967e-05,0.00804065792246233,2.60819103061985e-13,1.38106402040564e-10,0.00216333581297467,0.00472746683376392,5.6884890255105e-13,9.42571874785948e-09,1.6600087721872e-05,0.0829481360190172,2.48015211314784e-10,8.7613630249086e-08,1.69023604238388e-09,2.29611875265638e-11,1.5543817026985e-09,0.10004602109416,5.01412211287425e-12,0.0126216849600903,0.073225138392562,7.6952832645758e-14,3.11739671797313e-09,5.80588576177094e-12,3.35853898724753e-06,0.00489926516050063,6.83263899576657e-29,1.3906717214666e-12,0.000983300317931626,4.61863689919028e-07,2.15273804337781e-22,0.000796574178298124,0.000740575230500025,5.22216246066385e-15,0.000182408099102778,6.26059662581637e-07,1.59361070800883e-15,5.43692406578837e-07,2.28879949136107e-06,0.391325100181212,0.00201291819638491,6.99791041750692e-10,0.01637418201567,1.22303998046699e-11
"X111",0.0151880029785125,0.0391447635830618,5.4623333374028e-14,4.13761428970476e-05,1.41862183717351e-13,3.28684084499758e-19,0.00875632292418656,0.000511942133105216,7.19554819840989e-37,8.60659296629582e-23,8.94500260148832e-05,5.55701461957632e-25,3.94456453412887e-23,3.52517344659792e-31,4.72050282507519e-22,0.079068090231531,9.15388661065844e-07,9.58856586297698e-13,8.34949787898713e-29,3.18314380856117e-20,4.2773860974897e-14,0.0726188786363438,2.13824852446025e-15,2.10915026324474e-30,0.157448578415659,1.85648791587454e-10,0.00025617417044043,0.0036368659950063,0.000268098943358217,1.53328096557488e-12,1.44796530874857e-16,3.97120515279844e-09,3.59996712449173e-08,2.16403577286953e-21,3.28413394753719e-07,6.0655112752898e-07,0.0418853530034496,1.2771577512763e-15,7.23897195658917e-33,1.79300611341102e-07,0.00224552684414968,0.00599962092369776,5.67274081458467e-19,0.38864710965762,0.0105559096221015,0.00276758266734903,0.00970602643487805,1.74413031676765e-29
"X127",0.0159875831190328,1.15623916648027e-31,1.02706765241377e-31,0.0149087615562475,2.33094243599848e-17,4.1503263905337e-45,5.10041616380421e-29,2.68569439033217e-11,6.2001579531376e-45,5.05618122964642e-34,0.0014207451798689,4.9256540536578e-17,1.21806453922602e-24,4.01550226364226e-40,3.3583852801979e-31,0.085326023819799,0.0157513819098237,4.13267469443024e-22,2.09394772018713e-33,2.70651422209495e-15,6.671201613591e-31,0.049869279139389,2.11579064563512e-17,2.04337477599419e-25,0.166860378397732,8.4130137750967e-15,9.81366743938247e-25,6.50992019580073e-20,6.71714977716464e-06,9.07062042067685e-27,1.14311204328974e-15,4.14926316498059e-14,3.33854740410591e-23,9.07925498357611e-29,5.01487517399617e-13,1.58964181529983e-20,0.17488846004663,6.54232536961891e-30,2.80761187819012e-45,4.39235488572884e-16,2.12445757099839e-19,2.09092878444144e-06,1.46503131755045e-23,0.320068465943923,0.0123163950895307,0.0001713523925198,0.00481316507521846,9.02756811732513e-28
"X139",0.000369545199947248,3.63839083673054e-32,0.00552286933902437,1.73764830151366e-26,0.00574469428464516,0.0110209540639806,5.28279446762976e-15,0.00343542545114048,0.00511146558130314,1.93537983725786e-07,7.30988279220933e-20,9.51319096799759e-09,0.000483596278569848,4.79207664998921e-07,0.00411230530980656,0.0052827521643214,0.37327181576426,0.00154461909613412,2.78357951938161e-08,7.84920931287881e-11,1.48970446021399e-15,0.0745634006948138,0.00910019759041625,0.00517632790900666,0.0221768012687444,1.18013424832758e-20,1.07486387714606e-07,5.65786236931284e-06,1.84200160787172e-15,2.33444445673482e-13,1.68044873087719e-12,0.00435316887636886,0.0311494845181578,2.63909462362778e-10,4.38047296892217e-14,4.18580304254895e-18,0.177905074375052,2.53983761693446e-11,0.0135529522791235,0.0587555773178675,7.00711214626625e-27,3.1111118470565e-09,3.18283151898173e-17,0.0166851178259267,1.72727977534505e-15,6.52206467115917e-18,1.35497811540727e-25,0.000505391360451465
"X131",8.51778546456787e-05,0.0715009976385366,0.00547565594427779,5.70509280896086e-30,1.9651660848686e-17,0.00328983574406997,0.00303377814516903,1.68532911270857e-05,1.99671444044718e-08,1.84132308897919e-17,6.17849142544198e-26,0.000111280652643979,1.28332389734276e-10,2.23610921870057e-10,0.00150383478635357,4.85728892158978e-11,0.385858799301888,2.10327476422334e-05,0.020311844274704,2.67831755267631e-15,4.59826858450497e-18,0.124403727905175,1.653761167294e-07,0.000162191681624878,0.0131106612025483,0.000514302218383954,0.00384281111354014,0.010243681527102,0.00647739929993654,1.44412834581205e-08,5.2167920699721e-18,1.82977569872941e-13,0.0658626167927728,4.38329408061008e-16,0.00819531335012472,0.000202690924913729,0.0399194393680943,1.34466914903381e-06,0.0262541456611996,0.0150347467547379,0.00449176760900705,2.49973797839972e-15,7.8669788102024e-05,0.00956448583019655,1.20935143555481e-12,5.53563563351998e-08,1.10807896709008e-25,7.38274559227734e-05
"X102",4.02765965066839e-08,0.0600981517803095,2.02233995567722e-30,4.12008622898418e-21,1.94550826788828e-10,5.21787333711225e-11,2.38327876496648e-16,7.99542465328781e-07,3.90022180310548e-07,2.5732594212022e-18,1.58622090287082e-23,0.00105462661978565,0.00655784256080907,4.77965162827135e-05,4.75703168102492e-15,3.58030984359317e-11,0.258300909352433,1.23564291717754e-15,0.0940314962952566,3.50515848174663e-20,4.49775413740245e-16,0.226687385247785,0.00022020278851124,6.30737272644834e-11,0.00310720944851271,1.2800118692384e-09,4.72597243589808e-11,0.00116631280094181,0.00752232807341468,6.07367011851555e-18,0.000426995834674635,1.04378773097334e-20,0.122517393929915,5.23482057589181e-18,0.00277794839370103,2.15545711667978e-08,3.69001785054967e-27,7.33595097137696e-05,0.0426328407143968,2.13159392663935e-31,2.11103238779508e-11,3.28749872548023e-16,0.000552626623001804,0.00166127088687639,1.77129247131114e-37,3.52667416719024e-23,2.17629213286818e-30,1.28273963106594e-18
"X54",1.15385130682404e-21,0.0010114079114157,3.78555268532256e-26,9.38041350953795e-21,3.34832442221159e-08,2.95960985230588e-07,5.47953139554893e-25,7.1083293038496e-21,1.30945974470088e-10,1.47375886919151e-21,1.7396042460632e-33,1.70166671151386e-06,0.0152162853544046,0.000209598021564715,2.15673449705572e-08,2.73980369494745e-12,0.103563961363325,3.5929693176378e-12,0.213032728357159,2.39249590378359e-25,2.52978251228242e-24,0.285458431368016,0.00629137572794528,5.6500528940894e-28,0.0128141319108019,2.73048133184395e-13,3.34122767725628e-13,0.000278559915305665,0.00316196453010235,1.39747126726758e-24,3.04598264652614e-06,5.53553096349293e-21,0.13521809187352,1.73210504468267e-25,1.37789909919743e-22,2.33132172146068e-28,4.96189600650465e-48,1.05428575645885e-28,0.0520487241488757,1.515910937912e-27,1.2190749656641e-36,2.39335876937886e-12,3.40903082957647e-18,6.5644456426251e-06,3.38254803194905e-49,9.88857804130876e-19,1.37655019318517e-29,3.69721669429723e-26
"X89",8.23404005782191e-17,1.33868711981988e-54,0.00361388834326329,1.56212767043776e-23,0.00396355949636735,1.6647202474121e-11,3.40780451855764e-15,2.04819455256868e-15,0.00382529584671922,0.00276935320133689,7.84852186864087e-13,2.01723776537107e-14,3.02696050496945e-18,5.66545902432315e-10,0.0221356848265886,0.0313654339131284,0.0186142516173278,2.30159476132075e-09,0.338000578134321,2.96615999212543e-06,8.08442299877203e-12,0.213319965814337,0.00425746646607924,1.36278465751109e-11,0.0258393941373772,1.46568905227111e-06,6.73228368882265e-15,1.6892331899114e-08,0.00492954846922103,2.08531968481235e-08,8.40333795782249e-14,9.74500969520366e-14,0.0925276416475298,2.66444370567261e-16,5.10323057050574e-12,3.07296118336487e-26,7.06936499106025e-36,2.61287481641989e-25,0.0399897094744302,6.5935870538894e-10,1.6783522556475e-25,0.00028726462249654,1.87016273977761e-22,1.52499259387841e-08,1.04085066343013e-18,1.06558344389268e-09,0.00380236790102748,3.37590251798282e-06
