"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52","r53"
"X79.1",7.72266953960847e-16,0.000305166755764614,1.91308738936895e-31,1.8910183455631e-28,0.0868666396018513,1.89574700197336e-20,0.0229483254470681,1.85498890787878e-44,6.72158108732341e-21,2.85884723520019e-22,2.77755510961322e-24,1.27053289924106e-21,0.0123036918841309,2.50383213447365e-21,2.30583417321887e-20,1.52266606884747e-09,1.60786211303848e-12,1.5353650764179e-08,0.102406442795573,1.25170919765677e-27,0.13971068409898,7.54855267147689e-08,1.65978721786696e-26,8.0419177768153e-08,3.93271805635698e-12,6.00618816414078e-18,2.11629343986721e-29,4.20198764566416e-30,9.09807255003635e-09,0.194693651722244,0.0132063066714019,2.10361831160751e-35,1.71855059234807e-07,5.45199570918659e-29,1.06822571907801e-32,8.77776477425463e-21,3.00515322531003e-17,5.05778256341701e-25,6.51908807713317e-18,1.78215361971476e-35,2.94777079109004e-27,9.06007109946624e-19,4.65267904147235e-16,2.11682051770807e-17,0.0252990394318837,3.45374703747229e-14,3.15150385734471e-27,4.10108076166259e-06,1.07714472181464e-28,0.0535152667287528,3.35831383699584e-25,0.284548102042465,1.66224782647039e-30
"X97",2.8236466331516e-21,0.016198419127215,6.34495982624016e-29,2.07003434795285e-22,6.02987688624295e-24,4.98412349852989e-16,0.000136997215640119,7.14782527932145e-47,9.01664913673442e-13,7.11814469102221e-27,1.57018978848855e-24,2.69369081487803e-15,7.77502108480029e-08,2.25502321680582e-09,3.39316431759952e-19,2.77511551048388e-05,1.81249779931961e-12,2.62348312320619e-18,0.0890750856591048,1.36274923738144e-25,0.267906329118211,0.000874961911592112,3.13465318417054e-24,0.000386645686104013,1.35678727576255e-05,3.56212283159442e-29,2.82280214600735e-21,8.06478787981669e-32,1.07909585314011e-22,0.147826080306718,0.0973989034181069,1.4801813838967e-27,0.000448359672228986,1.24226118451637e-33,1.0570224045397e-29,2.89484004388243e-32,2.02074271985957e-30,4.99797488187789e-13,7.59112930629534e-21,3.04095680844744e-34,7.44453136080664e-22,3.75510877164408e-23,3.68589852929187e-19,4.89487541963872e-17,0.0146276970914029,1.55848466424507e-18,7.5294665863087e-20,8.11438670342685e-10,9.55570461297302e-44,0.114850447241644,9.79028152983957e-30,0.198521243976898,8.45007332270087e-18
"X123",6.02020583845722e-14,0.0147251954794292,0.00396544199137948,5.66203025452276e-31,1.94765937879047e-27,4.49778864735869e-17,2.22304826752781e-12,3.48429909703976e-20,0.011789210250315,2.08823270342086e-22,7.58313389092601e-22,2.365746085996e-10,3.99387479755549e-30,4.9999027194012e-09,4.02661408500612e-09,4.17258092446968e-13,4.27152638294474e-23,0.00376153256798213,0.0854910775242732,6.60732536233912e-30,0.365243616862355,5.62139741554669e-06,2.32311517321578e-22,1.03257832363708e-17,0.000162576623788808,4.35847832098451e-31,2.74324021549282e-18,1.31029447946709e-35,5.0160480569482e-34,0.107064242270236,0.17302156617268,1.24517666506806e-32,1.03382892544052e-18,3.64669977186041e-41,7.85829583636972e-16,3.18224982621429e-13,0.00269971270612023,2.10040416190353e-14,1.00203631836506e-23,3.34186574040822e-15,8.76609698239437e-20,5.94334137569167e-26,1.02131690603574e-40,1.04733437812919e-13,1.49980259925322e-05,2.01636839153974e-15,4.98906552414539e-28,1.02613840828754e-10,1.15133475865948e-14,0.154063870560809,2.89649331574068e-30,0.069176386755572,1.15043313172143e-33
"X63",5.08055906335401e-20,3.66205208179378e-09,0.0129958089699744,0.0356095670031416,2.69844803331401e-12,4.87500476452383e-18,0.0112865464740066,3.22381009791622e-07,0.00844196453387263,3.89434759290937e-35,4.81647041335603e-08,5.51690641324911e-05,4.35730516677701e-23,1.61159189494859e-16,6.38974000622834e-05,2.62971105441703e-18,4.5938829752625e-24,4.14782068148186e-06,0.0848041069627412,2.75624239867843e-14,0.39654071227387,1.52507629455896e-09,3.97017794726693e-18,1.14347458649441e-18,0.00896467230911689,1.08495481828746e-23,5.90200636872934e-18,1.73044242345949e-26,1.21281768141959e-32,0.084090258903859,0.119463690766696,2.26473147170667e-24,2.66564460432939e-27,9.34194397879902e-42,3.63145882624211e-05,2.20035453201768e-06,0.101671961708157,3.41604479838155e-27,1.13004721278697e-15,5.25929671039526e-07,1.12743631612657e-08,1.28206570533392e-16,3.69900182601074e-21,3.50463655076916e-15,1.10862743638294e-13,1.92538303162765e-13,2.99991789541935e-24,1.74643222221857e-18,8.1085159607448e-11,0.164313429016688,4.86737175040515e-26,0.00216483494854202,2.1107192795043e-36
"X111",3.33432994202483e-13,6.08901908687085e-09,1.91934629923935e-12,0.0924884199161944,3.94513846378971e-07,2.97835242686616e-15,0.00959743015588105,7.36924720960497e-18,1.44178022127006e-22,2.75136937309641e-21,4.34100076910145e-24,0.00570059700662809,4.27376481104819e-17,2.22755036434711e-20,1.53070173184588e-17,1.90786279472918e-17,1.1214453635173e-05,1.22113375401386e-08,0.0782627459546056,1.98428597163814e-14,0.380554919478696,1.91035894715761e-10,3.01170919113782e-12,9.60459600796542e-12,1.93059288144749e-18,1.01184954624195e-11,6.79092852323285e-25,3.65684372045046e-16,4.79294829957336e-27,0.0694932543234286,0.00405032085748707,1.36757211875477e-25,1.36612888863659e-15,2.31450813852324e-25,1.14934742259094e-12,1.46573532219784e-13,0.23013590291891,2.44047966267848e-21,4.27251110376407e-11,0.00687389289047306,1.40128314250727e-11,9.69295834831705e-14,8.14754572915004e-07,3.30896254247104e-21,1.49913555429221e-10,2.18832710566595e-20,1.13411220005163e-28,4.31910050118774e-15,2.41737783149666e-29,0.16586451778844,2.4967993147847e-14,1.04715082487998e-14,0.008605260963095
"X127",1.63022028957944e-28,8.41408214217869e-05,6.24092783716584e-19,1.28319624410716e-60,0.00543455991458932,2.91995813811147e-23,2.70244969184578e-21,1.65989753667618e-29,4.26093970130179e-36,3.52234128908907e-18,3.91492560856372e-24,0.00536632662066953,8.86553259667807e-13,5.73003353424233e-26,4.84602537788868e-34,3.75201016252349e-22,7.52692099566929e-07,6.19714395962318e-05,0.083251892116105,3.67692247985046e-29,0.309200302618829,1.11985656728597e-10,1.46997424445818e-16,1.30303039245111e-15,3.52668469138856e-13,8.48439491846741e-07,1.58017029324455e-30,3.41908116569155e-31,4.73707557472316e-22,0.0581917834547497,1.08880241278097e-19,2.00111312705184e-21,3.01216227183e-21,4.13046425922547e-39,1.2189391698688e-15,0.00947998494057411,0.251908467108835,1.57857475516767e-28,4.56882498968159e-18,0.0214211477780727,2.80596732379694e-22,3.57111322975928e-13,3.84835780273887e-25,9.66159331493614e-18,1.38631298484798e-19,1.95530382335121e-31,9.8530795511001e-16,3.67122153965633e-21,1.78396673254746e-09,0.167127309064241,1.48157094554367e-15,7.57215602850035e-25,0.110853622432865
"X139",0.000846515827623924,6.71266392163309e-25,0.00540026293634829,1.47050060463563e-28,0.0159194511539054,4.62658519570172e-12,1.30353852492941e-05,9.77167627164591e-15,0.0122001671475872,0.00788690575704848,0.000456504449978751,2.81469861570159e-09,4.51471850438793e-12,2.86508786526853e-09,4.03180173806309e-07,1.91953845032722e-05,1.36588245158472e-10,0.111418191526513,1.77751973725034e-25,1.00704838224557e-11,0.00796289147938082,4.20098801001093e-07,5.43449236821491e-07,5.26449455707545e-18,1.12575175585675e-05,8.58198783332811e-15,1.04303301443935e-17,0.000478700583776775,0.000405204400970594,0.0551137811481094,0.0149499757187366,7.85912913628334e-15,2.05995534133719e-11,1.66951951110703e-19,0.0058423546116779,9.82488568292436e-25,0.0232484374025696,3.46089161292085e-13,7.44948254472733e-16,0.391836210006082,2.11508385229197e-12,1.29031543623074e-11,9.31651477647729e-12,1.11945232096337e-06,0.000600173542039207,1.18946681313717e-06,1.61256239706472e-13,6.36164542336489e-15,9.66852525418824e-16,0.0786609921940282,8.86548273645798e-13,2.07158392886666e-06,0.175530540098277
"X131",2.85043069364761e-19,0.00287867934790896,2.11494744648955e-05,0.133203714202288,1.2335026669792e-10,1.90366806560836e-15,1.59278189939624e-11,4.16988216721166e-13,5.55601764882896e-24,0.0140952972047602,2.67081635364519e-15,7.72149098779727e-11,3.08289860429126e-20,3.29608969168961e-10,0.0651249561974129,2.06708196558392e-15,0.00232593999560517,0.101916040554103,1.94387297729967e-24,7.96251588708541e-20,1.68027819575441e-13,1.58417816956743e-23,6.7383209311655e-11,2.1435723505371e-12,5.81584007861662e-26,4.94259512111819e-05,1.65941644652317e-18,2.61593809896248e-21,5.67236878906222e-17,0.0745773452158719,0.00101927866379135,0.00560817958006022,1.64827744834203e-14,3.92043488142601e-08,2.724477791032e-17,6.25646282403181e-07,0.0138558665887326,4.44239303988659e-11,1.13658580079515e-12,0.403597633190685,1.58392684073359e-16,2.86087157325507e-24,1.95444195055475e-12,4.11896310127855e-12,8.74670608290464e-09,0.00164487385913428,6.25027547928094e-07,2.99140308980904e-05,2.83276981963265e-11,0.0559805385443972,0.00406554222660156,1.03116603740407e-05,0.0353999810364627
"X102",1.65028180886714e-15,0.00510517534931968,1.97977996082239e-07,0.0693698181609518,0.00934560349725203,1.96345548609471e-05,6.48927260107077e-07,0.0121905651240034,0.00106531470695456,0.0153654045656678,1.5753748362684e-18,2.57775675072285e-07,2.25148418590128e-08,0.00656535833676482,0.240396738311399,3.62483853927199e-10,0.00155253099738973,0.0491274779505594,7.2267103619716e-12,3.00665327042371e-10,9.30870830391215e-16,7.42403958860004e-10,0.00161111388952694,5.69613165724138e-18,0.00146104316426903,4.77873103763831e-09,0.000211343135260628,5.89086662590727e-17,1.22759112972685e-09,0.110881507803825,4.67775049411248e-06,0.00876846825328592,3.98752450760504e-12,1.31472504424016e-15,3.42281023629017e-13,0.00898606974171807,1.97408450535256e-10,0.00139960577078715,3.67099491342673e-06,0.276331201992735,1.51992596070823e-07,2.46865642587534e-15,5.09352491505757e-20,3.91527554543288e-07,1.26402777140421e-24,5.32643568259934e-17,0.0043160483399061,2.2119323125021e-09,0.0010055252682313,0.0477790886257803,0.000294767483384952,1.0234182973798e-05,6.20452717362222e-41
"X54",5.16021973346344e-10,5.0274279680568e-27,1.30006047106542e-22,0.0137167718802009,4.74405355391832e-05,8.44722302193923e-22,1.71463108691224e-26,0.0228249683320338,0.0149885360414093,0.00488195698236227,1.9766659433604e-09,0.000102971735315394,0.00206955859049682,0.0900384195493003,0.351413821492686,6.4793033771138e-16,4.77227071173217e-10,1.41569233944525e-14,2.14792753791483e-47,1.90345205793228e-07,4.75229400755085e-09,7.56861203899581e-10,4.09828135532317e-10,1.81368538355864e-21,0.00340871532647845,2.16790919373649e-12,6.85845567185821e-06,4.23406955171637e-06,3.89186824762465e-06,0.146753410316585,0.00249945882115868,0.0126680125834243,4.50074071871999e-16,0.00163187645449268,0.00513270439578917,2.08563661002555e-10,2.55197428395195e-11,1.84069924707508e-07,8.48366247717724e-07,0.119538451089348,1.45258882030856e-09,1.16166979921729e-11,5.20539629309366e-16,2.32688170486128e-07,2.0164094351391e-16,3.37712523332416e-12,0.0181464614419095,2.7049700909314e-13,1.12278336481742e-14,0.0259762848804873,1.71050549323202e-06,0.00252977514374526,2.52459683267263e-14
