"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49"
"X79.1",3.29608689483652e-22,3.53743115048143e-05,3.74427676438477e-10,3.62383972782713e-22,1.89201879822097e-09,2.18282422032567e-25,4.88759922499243e-13,5.82499914862792e-21,0.0267833018438042,0.00247314255563956,1.40052673886425e-20,3.29616883749741e-25,1.33229080837448e-26,0.103661244162162,0.179156968553388,4.89568992270946e-19,1.55850586500516e-20,3.10140451911233e-28,0.00138122458958886,9.53410206688198e-19,5.00417293176728e-09,2.83724971199497e-33,2.10452365265403e-19,0.00122390989520327,1.54234342025758e-05,3.51663430109284e-13,7.32132638231895e-19,7.21278500972325e-35,0.000154060175238071,0.000476825923474618,0.000847325579162801,6.6672123143558e-34,8.77562001728918e-06,0.328518195904898,4.28422725351614e-31,1.19151213312328e-25,9.65201175921646e-33,0.248077083321715,5.96192999187003e-19,0.0956677644666586,2.26507016792347e-11,2.0236178768953e-10,8.86426404855946e-34,9.59552979151893e-28,2.26818278340039e-17,6.49995227206556e-22,1.75864948277381e-18,5.30835165394977e-14,4.73755636006197e-31
"X97",0.000463848521796636,1.36323383468564e-05,1.54948455377035e-16,1.23533552394124e-17,3.30858969321865e-14,9.92013915988109e-19,1.6623111401201e-17,0.026577771471269,0.0014498709538957,0.000496536117498186,0.00805651350300133,2.48434105529969e-16,5.85221284053612e-45,0.180527582850854,0.257278533975967,1.69339534691228e-10,2.06007811673767e-25,6.2006255811462e-20,8.97903112187938e-06,7.85139360266077e-24,7.3461428820972e-11,5.67639547965778e-25,7.66091963910992e-16,2.54231517340567e-06,2.55636959040236e-27,0.000625281594856225,4.85603383942931e-14,1.54340544832085e-19,0.0161128313995396,0.0194624228567377,0.00220416421717612,6.92686379937728e-15,1.63038235945434e-11,0.264690349013028,6.61009295624607e-25,2.99615268537456e-26,6.2263346514564e-21,0.198244023753506,1.58682243234651e-07,0.0162649172064096,5.71212573245218e-15,0.000309563904115199,8.43703738841016e-22,1.43889551249869e-20,4.52848363299037e-16,3.68333671986854e-14,1.16108746146725e-24,3.04100271848408e-11,5.62050916722434e-11
"X123",0.0265838026869949,3.5228683091426e-18,0.00425667292676965,2.96582013347328e-14,1.50341606931096e-21,1.83516184029329e-10,6.22250562030042e-07,0.0984399570355115,7.44090035738754e-21,0.000202210297910966,0.0050950640928762,1.39945011306873e-22,3.19596403244231e-40,0.195992764571109,0.336233119774657,0.00791250642061146,5.98494703384231e-07,1.41468549465418e-17,9.21181480163762e-09,3.79102319001225e-24,1.83669572208511e-13,2.64212423530383e-25,4.92675229031981e-22,9.69639640972804e-33,8.96833253189321e-33,1.16473519315532e-17,2.04320790923239e-18,2.93579974000293e-10,0.0227519438386352,0.026214390292751,3.67546586260365e-05,6.30197573958395e-22,5.98759540071578e-16,0.138706194659491,1.73000638157955e-28,4.52608576359797e-09,4.95832883766459e-22,0.125543325343875,4.69975688586343e-25,1.86869789668287e-09,1.17030158634338e-19,4.14526970277286e-14,5.72928641486078e-19,6.12309751631368e-30,1.22287616449696e-23,1.2678871294209e-18,9.70661210463484e-08,1.72155639680534e-13,1.75994244617566e-20
"X63",0.0182254614843218,2.86088736317104e-14,0.04144635126496,1.31049106741805e-14,0.00744649122079322,2.02807631301925e-12,0.00163969029278227,0.157602375058516,1.10767741871192e-30,9.3596018720263e-12,2.56585530891787e-11,9.6814375766998e-15,0.000317283869985375,0.159415451014509,0.398853287778021,9.17534718832774e-05,0.00614850758494234,8.20844896110772e-09,0.00359884355838815,2.07176209276788e-13,3.14959782671234e-16,1.53485243448073e-23,2.97492075813526e-18,9.17722026190896e-36,0.00760910944443736,3.67937888586384e-19,2.1696444772216e-10,1.21726168991801e-08,0.0204235801187146,0.0201675359111413,5.83050389240056e-06,1.39789101706585e-17,9.46507593585238e-20,0.0526229364512343,6.83994331052937e-11,0.0129672645517297,1.90892322230877e-13,0.084877585964594,8.61596831390823e-20,1.63728941290561e-11,5.48045920468692e-06,7.61823160554326e-15,1.31138631865348e-16,1.8431550310241e-12,1.26464333346681e-13,2.65481703778337e-11,0.0164524730979879,1.46790178051853e-17,2.51786473039515e-13
"X111",1.87251583971317e-28,3.00499889388467e-27,0.0802878699125906,4.82957688074668e-21,0.0440522611381687,1.93227429246006e-22,2.25387148261386e-11,0.180347930498851,5.53343539523913e-41,1.54486172957498e-29,8.94950700339049e-22,4.09162080170222e-14,0.0619874547136614,0.0932665329588719,0.418078427683022,3.24228610549299e-30,5.90149813672723e-08,2.52888778655908e-23,1.68945020257195e-13,4.12469165022839e-24,3.39824798047908e-30,1.38571526486076e-17,5.33645375947204e-16,1.39820225923644e-34,0.0141256599279214,8.93626016687175e-20,9.27932059965859e-10,8.97612099871392e-09,0.000557298316533474,0.020003152162273,2.56909158122071e-13,7.60026790596672e-08,1.41318455948769e-22,9.9873421470599e-08,1.43349726285472e-22,1.08320349412039e-06,1.56237347936314e-17,0.0633279559586289,3.61269330834042e-07,1.16978118416714e-13,2.57858391113359e-12,0.0434037133019958,6.43263735678524e-24,1.45274489871945e-12,6.63934982453624e-23,6.44737854220922e-29,2.85676471904486e-19,5.21290975302787e-26,9.5486357464603e-10
"X127",2.15025604896833e-31,2.44559564922612e-25,2.1640256904212e-32,4.45366905615909e-17,0.0692398736260556,1.06115743397988e-11,1.19988098581253e-16,0.167630589896147,4.91582910515998e-25,1.00003445789732e-09,4.89483240837823e-23,5.70408874452027e-14,0.0785749877161234,0.0600074171210072,0.369343088541406,1.84138746738832e-24,9.05586350809173e-07,1.91348128804155e-24,3.60614308707728e-09,4.12914838240859e-12,5.65937104412707e-21,1.97378222785996e-17,1.11537530663271e-24,1.59845790737049e-20,0.00738822523066823,6.36143369485706e-15,1.57965501067844e-08,6.69653271830276e-09,5.06750383904435e-17,0.014096393793925,9.95457530843817e-13,1.44844302162288e-11,3.0848630132049e-30,4.47400579108319e-42,5.72880802601001e-17,1.37041288635845e-10,5.89644160813847e-08,0.0685990052243515,1.92673766946926e-06,0.000234069279511353,5.32369929009483e-15,0.171140113918798,2.40534918820035e-20,5.14954073430998e-21,1.49502448281793e-14,1.89714171888909e-18,5.61887998113672e-44,3.30933966808848e-20,1.95621783370011e-09
"X139",0.0059793856816539,0.000141459739302961,3.46796312001723e-19,3.37404435149538e-14,9.3765043985791e-25,0.077229857250433,2.00763199863203e-07,0.339713544540898,5.66099538921511e-08,2.2107503506505e-11,0.00017263394401539,5.35827291862957e-12,0.000330738869188311,2.64368572176751e-08,6.36410945049164e-25,0.0778563410712001,1.47889085717498e-10,1.80771226647904e-19,6.86410517304582e-28,0.00107287808812351,5.91501448771456e-35,1.23390734271849e-17,0.000293018414763338,0.000870273040058718,1.84395772472623e-08,0.00027942540765348,1.44026951693455e-14,0.00402832165895211,1.53704082413784e-23,2.08813807732205e-12,7.69627857770064e-12,1.91159075501551e-22,6.40251156642644e-25,0.00988609211366114,2.42940093737958e-17,7.86542146896055e-10,2.36802311326068e-15,0.0748632975155509,8.70865017253292e-19,6.61684688873827e-07,5.61529031227502e-18,0.159807215159112,0.222852028650764,1.06753706111884e-17,4.51316425999075e-23,2.68926204377202e-19,6.55697786555798e-35,6.38999577862314e-27,0.00349393565304664
"X131",0.000171350544903047,2.99800378000501e-13,0.126569774326117,1.04561783293971e-22,5.48320830174288e-16,0.0999437941875812,2.21554923967257e-13,0.32862921978023,4.91407260929868e-23,2.93701829333693e-21,0.000282010058070004,1.76692292668431e-12,4.22765083709339e-13,1.14786744626701e-11,1.32389463892373e-41,0.0145686364803392,1.34224142100102e-14,6.73003067216041e-22,1.4813771239648e-30,2.71195159618946e-09,1.6672533067796e-26,8.22663622717914e-20,0.00342351616987475,2.17682121578304e-08,2.2806213133485e-29,0.00775449484276197,6.82066696933513e-21,2.79732536143461e-07,0.04909760568962,6.95108640062397e-14,1.08638635393371e-18,5.2218227158535e-20,3.1034689664048e-25,0.00865237687259665,5.20642241140561e-45,3.26314306939233e-08,6.42134500869134e-27,0.0876721964089118,5.03843591809292e-14,1.11619498105894e-15,7.9771623123227e-31,0.0261827800374542,0.252628761267468,2.25037061966142e-20,2.9032280340955e-17,5.70712941748922e-29,5.13013370532101e-48,9.25188300518093e-35,1.39666262062304e-10
"X102",3.60283046647591e-16,1.09512208929121e-21,0.0616442307657672,1.92653667355183e-12,1.63178832639173e-26,0.122883917285078,1.74537181337602e-30,0.191599854450399,1.05931719833273e-37,2.89285914291314e-19,1.98112876660408e-07,1.27676988940111e-14,0.00165602146811609,0.00863229765075756,3.62246126391799e-26,4.86619454479981e-47,4.74392168806538e-05,1.85365303567855e-10,2.55151548039367e-26,5.37764259765294e-14,1.07638226540834e-13,0.00015072356004076,1.86326603815016e-27,0.00426448189798292,1.27436670386098e-12,0.00199166571930309,3.2341022934087e-25,0.00264798081145461,0.232106908733252,0.00465847570780007,6.92502190548449e-17,2.43055890305765e-14,2.51551126915068e-27,0.0129842035713726,3.29851438016589e-27,0.00529079605183809,2.48807758876873e-22,0.105963952669302,0.000507168937287858,4.2143117689403e-09,1.65887018217155e-15,2.09079527916639e-33,0.211929347847745,1.02938413113336e-11,1.34137584266985e-10,6.53559861779574e-21,1.57605762243401e-49,1.85333744636806e-21,0.000414022208944738
"X54",2.51614338340678e-19,2.27267756755515e-19,3.29988318097107e-19,1.95656771901063e-13,7.24864759989825e-18,0.100463047515857,2.62881845083457e-34,0.0555558657352801,2.49258265436971e-38,4.01007067908236e-24,7.4777408942589e-12,4.29093850246727e-09,0.016116826969736,0.0140558536921548,9.09251774860545e-30,1.10645852829487e-25,0.00691018307138406,1.45322190069387e-14,3.90689667714548e-17,9.99876687022916e-08,7.21912676199759e-29,1.41963328368671e-08,6.22712437207522e-11,0.00460276532647173,6.25127871995165e-05,8.98755282254324e-09,5.0699926490275e-20,0.0579853861392134,0.390131492330134,0.00650378766154798,1.03121921380364e-09,2.65301761767097e-12,4.7568138664478e-40,0.025579189695694,2.8325509452962e-06,0.00159779839148586,1.13240883480925e-11,0.113014709032764,0.0010845357190852,1.8703196620319e-23,2.14748763793074e-19,8.55698256832037e-32,0.144145105345738,1.96872229550657e-11,7.27732836322631e-06,2.38759481429578e-16,1.4376016072383e-16,1.63369149015648e-15,6.93530542054216e-05
