"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52","r53","r54","r55"
"X79.1",1.20974705483525e-35,1.56290554073274e-21,7.10370493462966e-09,1.71801043267523e-34,1.43332553245328e-09,1.32927416564522e-23,1.61799133825799e-21,0.0627489646512209,3.03471218703475e-26,2.09212861983547e-38,8.2821775303376e-31,2.8483196041238e-42,0.150332158532396,9.25639566481958e-19,0.00407471021000604,0.0613560715024765,3.26338042646825e-28,1.0576304908072e-29,1.36587921298895e-15,2.83052750611971e-21,5.07933179051628e-18,3.99814837334158e-34,1.83237349985799e-27,4.4934010183036e-13,4.60484775385011e-46,2.8531046037293e-25,1.75253417282106e-64,1.3334851724016e-48,2.75385299529798e-31,6.77845934631089e-24,1.99426601632894e-43,5.02831398381307e-26,7.6141394771133e-23,0.128120308062552,1.3226246071112e-10,3.94922914608811e-29,2.69861159033826e-35,1.72612928270491e-31,0.234464561867327,5.31730728653344e-28,6.01381108200292e-29,1.72200100452404e-27,2.74988348921672e-26,0.077380432952841,1.82571935642102e-56,1.34734273164872e-26,8.81328378508483e-30,5.89602209089928e-17,1.08478238180699e-37,7.0929638932481e-19,1.47832619079783e-40,0.254075363369025,7.11872454876589e-37,1.82320112634019e-26,1.39800732626178e-43
"X97",3.87400584156479e-33,1.37264272598265e-08,0.00766695833839008,1.2113268645043e-25,1.1930351524602e-16,2.68237476709669e-23,1.53113014839581e-05,0.0819486146342415,1.68945734598647e-07,3.03728127752564e-27,9.87614192791789e-38,1.01823728968692e-10,0.290180808162347,6.00634606896365e-16,0.0268748865827675,0.0557986686407427,2.93095891210577e-17,4.1485758487149e-08,9.31594537269562e-09,0.00043305631489082,0.000675897651739014,1.42663391719172e-16,5.02559066275249e-24,2.49225194230259e-11,3.22932894004838e-33,8.6785422438764e-31,4.25200257403628e-31,7.67458126827561e-32,1.15862949218485e-25,9.62031955081553e-07,5.19243430935829e-21,3.48841828128115e-16,4.7808937026266e-12,0.0669795139830291,0.000145041012847655,6.22657988110253e-25,9.69250307336143e-26,2.00128686242698e-17,0.133554331276131,1.81780519570716e-21,4.1443897491354e-10,3.06741245870232e-28,3.66572149284463e-28,0.0537882587239301,9.20905369233627e-44,2.566454390062e-27,5.18553037267306e-10,3.42025303051352e-12,5.38166037623053e-17,7.52669917723033e-28,2.60849800648346e-29,0.245089376808675,1.8561651542907e-24,9.93544217176115e-14,4.78070907331677e-28
"X123",4.27131022980101e-13,7.27183689307752e-12,1.21991436786874e-14,1.14021787288527e-24,0.000110294385038896,2.82939234564004e-13,0.0215366083491589,0.0194309349488858,0.00919489440381271,9.74314301555875e-24,3.37957506105186e-33,1.90918205642262e-07,0.378227741751437,7.5177760295675e-15,0.0303926270972628,0.0268649427196776,9.40235273678547e-11,0.00362024268780324,0.00736387588443829,5.84131998221131e-05,0.0147067473495345,6.717964109831e-17,7.24641240853922e-13,1.07669044361535e-06,0.00943266848429064,2.14386095238086e-21,0.0390546984842462,1.46815239138758e-24,0.00318299491599975,2.34357250497023e-10,6.25524693319597e-16,1.44593871262122e-27,1.15864226575342e-06,0.0288346381360281,6.84761750768115e-12,9.50151273424921e-15,2.14852706396075e-06,2.51421049233973e-14,0.0281162836335847,5.40138565633077e-23,1.47339813005371e-06,2.83716119543081e-19,0.0255301214292537,0.0149822432138191,0.0176765471308369,6.27666758773436e-23,1.86109803052708e-07,1.99524444328309e-16,3.1167650823099e-10,1.85331643332627e-20,1.01019313696903e-14,0.227666523928222,0.0300643211551058,6.51172599227706e-17,1.62225068765374e-08
"X63",7.1061557974844e-11,0.0185782795548272,3.19175193203231e-23,9.72248601045989e-08,0.0024804340903515,2.86166409435839e-17,0.0273359378399486,7.64830350093881e-24,0.00263098761098332,4.41059464738662e-23,7.20810195096905e-12,4.84573725243535e-08,0.363304602630074,6.97189021636262e-10,8.65034986355112e-05,0.000161987781859901,3.05328750119642e-05,3.10093224583785e-09,0.00618038983279715,0.00349229277569441,0.0456424891555572,2.0480059507912e-07,8.18401082923423e-12,3.87442429814037e-07,0.00266170236957848,0.0004137469631374,0.0288314010636918,3.78814070210979e-19,0.00520425626447453,2.57695774327783e-11,2.17383640911814e-12,1.47818358890906e-12,2.80615790574511e-07,0.0104957663928055,3.29412970002603e-09,8.14254499696117e-08,2.36217715005391e-19,5.28430632493292e-15,8.57529628572463e-22,3.19848574614277e-16,8.12138882324616e-17,1.58468251820253e-13,0.0201329765676071,0.00134112223299817,0.0253498742810009,3.33955319105043e-14,1.53889210019563e-07,9.79793129181936e-20,3.09104135499361e-12,0.00933074515780381,2.10381326323469e-11,0.212654603591104,0.136685877620848,4.9026340762352e-13,0.0124137893637019
"X111",1.3688248770309e-09,0.0367807532682359,0.012891684952119,0.000700005159882452,8.04481695304106e-13,1.69164864828535e-07,0.00107467157149876,1.85791653890431e-27,5.6180934721455e-13,3.50241804791385e-24,1.52236884271124e-10,0.00109894080544427,0.290317805839947,1.34864056752352e-09,5.00154166732948e-30,2.45625808927626e-21,6.91935120067931e-07,4.10505940259578e-06,9.90405239064136e-12,1.28006135770659e-08,0.10079850628725,0.0106211295123424,6.8867931056652e-13,5.73023525255398e-20,3.18959470093642e-21,4.9558166530178e-14,1.50374223902798e-23,0.00151450584524035,1.62120414425087e-14,3.98900372682379e-12,5.58281789333682e-22,2.12017803651311e-13,9.37956758744471e-11,0.0147076362838058,0.00690855546072132,4.45352856883902e-07,2.82349396862817e-23,4.15645292283061e-11,1.55659080482657e-36,1.72516756835805e-10,1.11054425467216e-16,7.73845932896878e-09,3.12199565713159e-33,0.0013965075934192,2.78549875418223e-09,2.26070826648609e-16,1.86497689265637e-06,4.4613778889311e-27,3.31071109197167e-17,0.00530643952473905,0.0108073199449426,0.195196797641165,0.269111825939263,0.000349495615558627,0.000120249183472404
"X127",0.0294954350311522,3.69895701861736e-34,0.138502871929301,2.07520422354407e-25,6.98816500641442e-34,3.15915181620843e-10,1.76872089863927e-07,8.0339177797627e-30,3.63025669310038e-29,5.1288485187324e-17,8.3661656630938e-09,1.293578027652e-06,0.205567389222864,1.32290592098912e-14,1.89614650330269e-31,1.81982088459341e-05,1.25810943204612e-17,9.90140100878185e-11,6.54406677863595e-06,1.69421511877727e-14,0.122581373532215,4.66623339777767e-05,1.42061574289321e-28,3.08160832121521e-30,4.48816500490408e-26,1.19499268636779e-13,5.42319337849833e-23,6.03710565672635e-08,1.05204384091354e-14,7.3146973474179e-24,3.14612647125773e-21,1.16129709792368e-22,3.04392794039666e-12,0.0242574428092306,0.000212000964415085,9.97665778185947e-10,2.54836640267787e-38,3.93920698875731e-25,1.39164278060699e-47,2.19445052523807e-20,5.04395897120004e-32,2.08928974994823e-11,1.15440402223009e-35,0.00492342868443155,7.72239478222819e-19,5.43731769203811e-21,7.53630984254099e-11,2.09048524887773e-43,1.31791758207504e-15,1.92131439157957e-10,5.92874802474379e-14,0.175058787879653,0.301106453098047,3.76786994379057e-09,8.48729517593827e-25
"X139",1.29258160452087e-33,5.42020015306805e-09,0.178495339556952,2.26639894788375e-18,0.0446183550828002,2.82196543620114e-29,0.179592743176885,0.000213901050625157,0.0497526763305729,1.72644805122158e-25,6.78978380298302e-33,1.89967066409201e-14,0.000964648103473889,7.88749988779291e-16,2.19720853698735e-09,1.21266691169018e-07,1.29450928911849e-20,2.17618500145211e-28,3.90164153054033e-18,7.71546801585732e-25,0.387149065300453,5.39913897025123e-16,8.05285336042731e-18,0.0409748859866871,0.107128002810536,2.94931148587969e-19,9.24875203300029e-18,1.06334699677913e-26,9.64408480917072e-06,8.13228924859986e-14,1.71832506984101e-18,5.10850576577179e-16,5.19234440624095e-22,0.0010926082350505,0.000105499851599401,1.07866625285121e-13,2.30106453291203e-12,9.20250071346975e-28,0.00410540283932935,3.08652317375232e-21,0.00760520869611625,5.24682491780837e-13,0.0290629080862465,1.0040605741925e-22,4.0834503801352e-11,2.23162976012651e-23,2.36222164010852e-13,6.70538062189084e-11,2.10029577895934e-28,4.75595222724132e-24,5.35626026024827e-35,1.60608572595182e-08,4.03985997646973e-12,5.85681489035539e-31,1.91656541787893e-17
"X131",1.05542430352007e-13,0.00811598991495644,0.0283079799565511,6.53239975648274e-18,0.0547455427270564,1.81029443974888e-35,0.232448033249967,0.00638547552295956,0.0727689140110905,2.22283867252904e-15,7.70419237137289e-28,3.63787130690706e-20,0.000529953845015135,1.28255070536713e-27,0.000720446671331672,3.20534232712006e-11,3.54837481785079e-18,1.84820829529093e-17,1.44513267969258e-15,1.26362282085185e-17,0.361721049764518,3.11892145020515e-28,6.62839071435325e-17,0.145581531824034,0.0445551633575914,0.00121322673812964,1.8193846864872e-17,1.53597540495856e-29,1.94970450880027e-19,9.46622605419283e-19,3.50162220256797e-32,1.35856365832827e-33,9.32857845289639e-25,1.60941218370411e-09,3.4223903990796e-14,2.59960053599277e-21,5.86986937223604e-19,8.95672054243757e-16,0.00568280950563575,2.36882410848676e-13,1.81097171998652e-13,1.9285913344614e-29,0.0219810036072826,9.55183773546828e-36,4.42415050781955e-23,2.15444816315479e-28,4.88538501637761e-13,0.00218153072701218,2.78045892777482e-14,1.00771615756187e-12,0.0274767659029595,0.00330193919516426,3.17919439109511e-25,4.20444767789401e-14,1.28742614437414e-16
"X102",0.00184920416312491,7.12624363031877e-15,1.25700456664532e-33,6.37920648753868e-17,0.0636108484922718,3.58957431624538e-20,0.298310715853224,0.0705403764385525,0.127381292746262,8.42689823041867e-06,3.43626110176483e-14,3.37067657208534e-25,0.0117963181501917,8.11329879028267e-10,3.80130185863677e-18,8.82312270420271e-23,1.19582559573557e-26,1.06015880391259e-05,2.98374610573541e-17,2.88290073032496e-20,0.188405667312207,5.64086711532571e-34,7.43786674769712e-08,0.166699002316294,8.82413068311869e-30,0.0070025057724346,0.024370316654018,1.74808686359297e-12,3.22774104164484e-21,2.37603806192099e-22,2.2830256282409e-11,4.13168117671102e-34,3.05091478216175e-07,2.02774190837267e-14,6.23016021542002e-22,9.28066171302664e-13,9.42687709427895e-18,5.33811942886242e-17,0.0152841141706519,2.82791735663082e-20,8.26073378218031e-30,4.69453918843051e-15,0.016001914938918,9.68597220680993e-25,1.45368648962363e-18,3.00977290942995e-09,1.69148716315844e-19,7.14148328484769e-16,3.26763904547315e-05,3.74765110013476e-08,0.00587575986115027,0.0148490078987938,1.98637264381231e-11,1.77024392471296e-11,1.43481357897893e-25
"X54",1.77881777538719e-05,3.35842607081995e-13,1.94032453326499e-16,5.09671060033898e-24,0.0739174372761156,1.80802277592526e-22,0.329669708432852,0.236685090255571,0.156664806322311,3.95261978090498e-12,0.000223730239651981,5.28106401581501e-18,0.00868047996981952,1.84063467618961e-13,1.09828664303416e-27,3.35413348214794e-21,1.79994871171584e-21,0.000130387400404083,3.0464327851978e-16,3.34925688797318e-24,0.0360545254575273,1.48344314867918e-20,8.9480185847562e-14,0.0776490371554203,1.22118296307832e-21,0.00340970986826969,0.0141731789768829,3.4522875605144e-11,9.25553887847593e-15,6.59038961135911e-25,0.0166945639883935,2.24507652339255e-08,0.000492663938515326,1.44972922362624e-07,4.00829675806617e-09,7.12054560045265e-15,1.74324673739236e-18,1.51729873256265e-05,0.0162208605562218,5.24413878062059e-26,3.15002880570466e-16,0.0116151927297371,4.49926299457349e-06,7.34717029225585e-09,0.00948273904910627,5.73671472417833e-10,3.9610951682195e-26,7.96267625029324e-07,5.19697563817136e-13,1.06832304376474e-13,9.05858767474384e-14,0.0114518649360139,0.0112511474229041,8.33326379140783e-13,1.04437154142432e-24
