"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52"
"X79.1",6.10318397271061e-09,3.30547559625504e-34,4.88909541550463e-18,3.12708179452418e-21,8.19832472386623e-09,1.46664423210126e-13,0.0135080770689946,0.0804552489159776,1.02107460190351e-08,3.56364437368784e-27,1.59998261350324e-24,0.345543803448151,1.04112719882135e-07,0.147260474060482,5.4015586613347e-14,3.48595888976403e-14,4.26915643690635e-11,1.51468010642685e-17,1.00309266719808e-14,0.0832625763322428,7.92396063714445e-22,1.47958973827241e-13,0.000238797062049283,4.94916305260666e-15,8.52550561371471e-22,1.56635950463318e-23,1.68123666192059e-05,3.39414232532955e-26,2.29998022692717e-10,4.25146135129479e-14,5.15165275006649e-05,3.25485471314861e-24,2.11674338543652e-30,5.25114797365987e-12,1.28879575042644e-20,9.20976818779319e-11,2.34691101784016e-09,4.76700608008705e-26,3.13471757632868e-08,3.12079312355171e-05,3.95506659849856e-11,2.15216275092105e-11,3.81310465196159e-18,2.11649560340935e-23,7.36121343036378e-29,6.62111236295822e-29,2.26005611349172e-09,2.52194468562928e-17,4.46465045479078e-17,2.63187473430041e-44,1.52878227182429e-24,0.234541700457186
"X97",1.09227093605355e-08,2.85988673959311e-20,2.12489257686794e-17,6.38794897583836e-13,0.0045820991289238,0.105815938781102,0.0179314423797694,0.059393607453571,3.11516691771824e-13,5.70434609380732e-17,3.75542765293567e-11,0.263072079804679,1.56479550504999e-05,0.250244173317148,4.57612677103871e-19,2.75914215161691e-15,1.98179543403522e-12,5.69204448650853e-09,1.0827548325273e-21,1.32870475598073e-05,2.92129211909793e-14,3.52945695461374e-18,0.00583753343512025,7.8130497398882e-06,2.10011669879925e-18,6.41778645050252e-16,5.16685538524209e-16,5.17502435375239e-15,3.16194374382514e-16,2.51331943727064e-09,7.01750461939614e-16,5.64073559503056e-17,3.47637024292508e-21,0.00434336750303196,3.19181890412146e-16,5.63835866591621e-06,5.08760019509105e-19,0.00813121453214649,0.00150778723373786,1.26927685439248e-25,9.1229649766485e-13,1.61064268930391e-13,6.2077381949762e-18,4.35023650805994e-23,5.86427137465815e-21,6.58259170550985e-45,1.56621484492763e-15,8.83910611461578e-11,2.83215625197334e-16,1.15527661373262e-27,4.07395153303697e-11,0.214653692359481
"X123",1.03509919205052e-13,5.12779410079133e-06,1.7090002675833e-20,6.50525168151565e-22,0.00731152259719258,0.192546518445642,0.0175687588467367,0.0407525354480482,5.75503467444967e-16,2.36324648720499e-22,3.17507657928712e-16,0.171392881583695,3.10443073163767e-11,0.346542504755362,2.20795940766779e-09,8.9481355327031e-32,1.42124717850528e-19,3.84020826385971e-06,6.59489712174221e-22,7.61716056783095e-28,4.2998548995378e-18,2.36625629127543e-27,1.93713424265345e-20,0.00434781005629589,2.5560581328376e-28,5.39266105405911e-22,1.72797880925543e-39,7.23406676278682e-18,1.06412138031516e-34,9.63176955600791e-20,1.13688665258695e-35,1.63776498650473e-10,0.00364140973086094,8.57892759900515e-15,1.97837034038716e-13,1.17527235484997e-21,4.70412366614953e-31,0.0527401232529539,5.69676536216699e-08,3.40805680701308e-34,1.05570855833869e-13,2.49811267197066e-18,8.56325866086625e-29,6.48824060549769e-31,0.0087554838440743,1.21510847613799e-31,1.21364336388381e-25,1.55694082982893e-12,1.81994222539818e-11,3.41653245275276e-06,5.45277700287215e-07,0.116723815477533
"X63",5.65897660307738e-15,1.46827797435852e-14,4.39138614064053e-08,1.08832720653671e-11,7.86425022478872e-09,0.171387694098187,0.0228596988259949,0.0430814854438138,2.80512017630505e-10,7.48369966777091e-20,1.57300701801015e-16,0.109818727111752,6.98441178024647e-15,0.404931048124034,0.0113953968431739,9.12170810410787e-10,1.06814010599703e-08,1.7022653840739e-11,0.00586583722305544,3.04538773296949e-13,2.43451821752718e-15,6.56208862292415e-06,1.21072156055676e-15,0.00565183088900191,8.17538922435323e-15,1.82913938755045e-14,1.93269248420276e-19,1.17863079409715e-09,2.88458378011139e-15,4.71308383171635e-11,6.21538327983276e-20,0.00142246310181827,0.00542722690031618,2.52186288547829e-11,0.00369719318385858,2.27972117792026e-09,2.38900478956847e-15,0.0382637399239483,0.0035678895351746,1.9496492380138e-22,8.57308422741989e-08,5.02599361564558e-09,1.41840513373969e-11,1.43621698288162e-11,0.094422737747287,0.000906352519281799,2.88787539130103e-06,1.08024759389411e-10,0.00305247953082468,0.00402287274868659,6.32082910922163e-06,0.0398285824983318
"X111",5.32928129382028e-14,8.6932192098996e-29,1.53116589562145e-18,2.64000902178278e-13,5.15217107331938e-22,0.0851958268448759,0.0189656246454713,0.0393021500312375,7.04428242013858e-15,2.09940076135354e-09,8.62042937146789e-16,0.0774030853746173,9.05642853454956e-15,0.42565143958955,8.11300174944942e-10,0.00654640992720585,0.0062245381753124,0.00538892443391577,0.00944041265251623,0.00201643004345474,0.000166887420858007,0.00093023400234572,5.27174079027482e-21,4.12651963100291e-19,2.35041234919057e-07,1.56604060818886e-12,2.18010782870276e-11,0.000133970549701894,0.00488503682547085,5.06663892499254e-12,1.17463153623129e-11,8.54799168995623e-13,7.0418619689096e-18,1.03486995722689e-05,1.24758402635778e-12,0.00093479390897265,0.00449200365164656,2.76443204129491e-24,0.0519151528971577,0.000847032032083061,1.14293278208169e-14,6.31919376387287e-16,0.00798464523911733,0.00194591197485394,0.18330319809694,0.0170388439809864,4.45513546973117e-09,0.00118905885132765,0.000353076894047712,0.00103011986638391,1.03879762041953e-25,2.90218053213189e-09
"X127",4.959694164553e-14,6.88022700425379e-34,3.34984501035408e-18,3.1725848933166e-11,3.32257601321677e-23,3.06255776836308e-05,0.0232256602798401,0.037040909475958,6.88778456544733e-14,2.49982778603251e-05,3.31418435114368e-07,0.0656992179497854,3.79534884717057e-20,0.371288783348337,8.73138304194432e-20,5.19958793013497e-08,4.62839388515923e-12,3.71302497630955e-09,3.35312236108646e-05,0.00328644276607403,8.06539633909692e-12,1.51865365296986e-14,5.59998220324667e-20,2.72145457586072e-22,1.314408477367e-10,8.13340617610131e-28,8.60014596223819e-11,0.00728010798285584,0.0001061495460548,8.28137944584111e-09,0.00607227414175628,9.74129064429885e-22,0.000411754462784618,3.97412447003434e-20,1.40976697243066e-07,1.89139817445478e-15,1.54430638871006e-10,6.72123467612897e-21,0.192960639863103,1.41504357059524e-25,0.00018042412139711,4.32723861292444e-25,0.0104315160715999,0.0022950055146208,0.194074669000685,0.0341516753862117,5.63121812069968e-17,0.00555896587252173,5.98620821935921e-14,0.000341551783761512,6.35606205945924e-28,5.76820284123687e-27
"X139",1.50517365420566e-21,7.58393060654373e-15,1.92399597392889e-12,1.63537264524799e-06,9.18754477369012e-19,0.195462333281348,5.80402063938948e-51,0.167294186246505,6.93829226004858e-15,1.61219843132228e-20,4.03272800661619e-14,3.79861298849315e-46,2.05656607485873e-06,0.0113868244424163,0.00182782623174485,1.41469532729783e-17,2.40531211369659e-26,0.0147408428025312,4.43120673593512e-28,0.0226299785252355,1.2233527138894e-12,4.54299711859991e-25,2.14862246468513e-19,0.0376324828820668,2.8986278264886e-22,3.37824767241124e-13,1.77550177600378e-13,8.55544870377382e-35,2.90700248606142e-26,2.09741061164009e-09,1.98372113515913e-10,1.78413676219638e-19,1.17248067681656e-19,3.6087821483643e-10,5.20334882540901e-24,3.56465209450465e-29,3.41401559036444e-15,5.81553890649276e-14,0.200437760479744,8.05911882672644e-19,3.99310182093536e-21,2.12552484981492e-11,2.91385660796688e-10,3.02785214854305e-20,0.000408339782830216,0.30716749047252,2.61020246482501e-13,4.90833717797295e-25,1.06691284601997e-12,5.55159006569237e-08,1.02136254639524e-14,0.00498884761539035
"X131",1.63996124166807e-08,8.14271747830503e-08,2.21213097235692e-16,5.06999791208899e-07,1.92045140913609e-18,0.269244135825175,1.1808139605671e-24,0.20417192877002,1.11809867986709e-11,4.87167764186789e-08,1.67440048150775e-20,2.12585777139662e-41,0.000344942234661763,4.51311052885699e-08,6.45532758623259e-35,4.66903337180846e-09,7.62344191134128e-09,0.0152701218047097,2.0743375949464e-10,0.0199996533147768,7.54309060406138e-10,1.21044078042085e-16,5.05259876898359e-20,1.32868908086979e-21,1.45518731338882e-15,1.45025466640018e-19,9.83741367328232e-07,4.63416895705112e-13,0.0230351213591055,0.000238235441343117,3.16341172290612e-26,0.0462373975510982,1.59595513322472e-12,4.57412088920259e-12,1.04148779540339e-14,1.56874827621531e-21,5.43532618002063e-07,1.11714913588741e-24,0.0566015392232946,1.96496137324926e-12,7.49872229417955e-12,4.57586314280697e-07,9.00615054003932e-08,5.8063230443587e-10,5.28932092029967e-21,0.303734207784195,3.23773279990677e-16,5.59034845513018e-07,4.14207977259322e-07,8.49725284202785e-15,1.31580409142785e-10,0.00190785353780017
"X102",5.4711307033824e-13,1.10710830774426e-08,2.10908373407766e-15,1.5219393222559e-08,7.76315201276629e-14,0.215115826838473,5.89345937806335e-14,0.223199381752911,4.90930799619757e-18,1.59537931920332e-06,1.89620750304897e-15,9.80919154893869e-24,0.000397196310028613,2.50089627008627e-07,1.01163187619419e-10,2.3829227878849e-20,1.93795202691361e-25,0.0192585601197873,1.93585357309107e-10,0.0313174359952954,4.36593279412612e-19,1.56375234972116e-07,3.20544151801484e-14,1.03823864967213e-49,2.86776637201879e-13,1.86246466967135e-24,0.00672127100839032,1.23020491293232e-12,0.0228039505271852,0.000292015898842762,4.92954806462269e-23,0.212021703238804,0.00319336760917637,3.84573662923823e-29,0.000233522123888563,7.04742615915555e-13,1.64380374411713e-10,1.18904389187795e-12,2.38975081792833e-07,0.00181020195816937,1.92011653405306e-06,3.97272298542074e-28,9.69178153131254e-20,9.12470744577906e-11,3.2590253348653e-27,0.160504474215364,2.27387737495593e-12,1.3288232225809e-08,8.37236631554965e-18,1.0742047962762e-11,4.55301340729673e-06,0.000831638326383694
"X54",1.63309097788599e-16,5.53669101472958e-11,0.000961622651506397,4.81253292697994e-11,5.43894544176253e-19,0.08807321773791,3.15144849200816e-37,0.219545161605299,1.88811969496436e-14,1.31068100236364e-14,4.45204748537415e-06,1.26009231272617e-41,0.075747483319938,1.22035376277971e-07,0.0105696428011832,7.72900537217641e-16,2.98216783550285e-18,0.022570829781329,8.81613631177317e-13,0.0220398438502667,4.29308463714295e-09,5.44802400676629e-16,0.00428823438592574,0.0142217750805957,7.02803188063364e-25,6.6635211486266e-12,0.00205324751567782,2.4605469722508e-11,4.66990986279321e-16,0.00214493544531252,5.47183286917803e-16,0.336095183805279,3.97540332288735e-11,1.9693511534e-10,0.000262758528709302,7.80530504790653e-14,4.14490763743218e-12,3.72808155844003e-06,7.90519223314513e-35,1.51367918594607e-11,2.26138040365071e-11,5.91525099691098e-12,1.40358264876001e-06,8.38510431192358e-17,4.03360610044667e-06,0.0294742868089878,5.31440746075497e-07,3.06383854003641e-10,4.36779062465079e-31,4.86905750583086e-16,0.000204455906724218,0.0236110447606908
