"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51","r52"
"X115",7.88203499805866e-10,0.0354362943699268,5.01892572993388e-12,2.36000393886606e-09,2.90737132363377e-07,0.00255083592980895,3.23147121096119e-06,0.000203409497132156,1.57708056136361e-08,0.000965373725110356,0.000116287586145704,0.00886912809766841,0.0128606172464766,9.6004369344896e-17,3.88889633220976e-26,1.08604530496458e-09,7.70755868712559e-11,7.06872435784039e-09,5.57591390479357e-11,2.19562051442689e-27,4.46809742622955e-10,0.00214367333225774,0.100229636862,0.00997393670364329,5.45694640202988e-11,0.00507219384897916,0.167520078754711,3.68885706577563e-06,2.77280944906005e-06,0.0173538382558025,2.60818751598304e-35,3.04725074956405e-28,0.00838831839142939,0.0239017126200161,3.74584927734431e-08,0.000665840069419535,1.13305099214742e-11,0.00331890655928603,5.67229996662386e-22,0.0156948245143956,0.000260186251766507,0.433163800105788,0.000250717639566214,1.3237687102604e-06,6.94159712875243e-10,4.06343675741339e-06,0.00468890902082301,2.29218992095839e-05,5.36889629867552e-21,0.0794576225173429,0.00102436054297908,6.18817043965761e-10
"X127.1",2.03299867972896e-19,1.24382759586147e-07,9.99502571654231e-24,1.13466383170582e-24,5.26883118099092e-22,4.61857283671874e-15,1.59767736253637e-29,0.00683216156717604,1.87195469976262e-21,0.00126000638364809,0.00516305861877755,0.00999615615001255,0.0102495370387567,1.78356632609443e-18,1.76112522075899e-14,5.70093025230283e-14,1.48376124009764e-11,3.71228931536874e-16,0.00121604388921318,4.05524004671499e-28,8.56131764961367e-21,9.42721189607982e-08,0.358828243585196,2.66190406108494e-06,8.212146202668e-18,3.0661899325395e-15,0.164646945538819,1.45616131394491e-12,0.00261113173568946,0.0114866953889837,5.18267172349928e-34,6.37397494883393e-26,0.00138408242374041,6.51948365301747e-30,0.00166311809090532,4.93900562515564e-11,2.3418591793515e-06,0.00999217764961223,1.41748365149816e-12,0.0319148647263607,5.24978328881484e-09,0.202208505070755,0.000151096103216784,3.52851030875411e-09,7.49763815098802e-09,4.43365851838504e-11,0.0159479664946081,4.54233075118335e-18,1.46555046094683e-21,0.101187487470568,0.0118061554649358,6.48570569720548e-19
"X135.1",0.000788096541244814,0.00627930129656051,2.12573932813604e-18,3.75790629678648e-10,1.42022511477418e-10,5.56191745550926e-07,1.29748564388684e-26,0.0100983607426033,2.95705957447354e-09,0.00888296104687778,3.23389297591596e-10,0.0194644961871181,3.13776601169572e-16,7.6464091953349e-06,4.47938446096318e-16,5.96465039822889e-15,3.71142565652336e-11,0.0084492926213119,0.00030305489120472,4.94069739680606e-16,3.0217877306453e-17,0.00162176288388583,0.451873820070994,9.87384988978747e-05,1.16523698930816e-10,5.6615479094247e-05,0.0313828819552366,1.07853917666591e-19,3.55664526226661e-07,1.99397266547828e-11,0.0733009924810641,0.00453879643472005,1.90212344309672e-26,0.0175369253636599,2.01772099146576e-12,4.77605371107789e-07,7.79018547713261e-09,8.8110151474904e-05,0.00737995231385959,2.91180542816957e-28,1.10823513208713e-16,0.0098331063802125,8.30504076942868e-09,0.00381617813432946,0.0054539819513652,8.74823376225631e-08,0.136749098216886,1.87394616136756e-10,0.0446453275364458,0.100544804023143,3.27567968189728e-13,8.51557867059644e-09
"X113.1",5.11362557917498e-05,3.52365832291056e-06,3.03414928963368e-26,7.46481335772111e-06,0.0036993335313543,0.0254615594117878,1.24354630102616e-13,1.38641290419863e-09,0.0019351312512148,0.00806906747791833,2.09408322814356e-09,0.0104966665711122,1.00578261116898e-21,0.0016715874635267,1.76262750635695e-16,5.65340999849996e-11,2.38353614159273e-13,2.52918626485219e-06,3.17902384470498e-31,5.59278670883463e-11,3.69461113250775e-21,3.04269885581337e-08,0.219996570214681,0.000482147114055319,5.16298755616484e-13,0.00182618206426338,5.63353823292299e-16,7.62519738817218e-20,2.00853981981059e-14,5.24827281935594e-19,0.111206102911387,1.13337351186378e-14,2.77645971470847e-17,0.00435754777465728,3.41558768927502e-15,7.15190282523058e-05,7.2192207556184e-24,4.20354917678302e-20,8.36256903481116e-18,1.54095992112696e-52,1.65665843711332e-11,6.9466625193881e-31,6.1985624694922e-21,6.07614251327185e-12,1.95601046275559e-08,2.11819570285053e-42,0.380131176365945,1.59742795187637e-19,0.0853220932731582,0.0909802460784442,2.29259908156032e-16,4.36168891647635e-22
"X119",5.10271002358601e-18,3.91701349198953e-05,7.17327802333129e-13,1.65452715525684e-14,5.39265985848084e-13,0.0227251794229181,4.01449784947839e-15,6.05958319729612e-06,6.42854735245323e-17,7.02649422259257e-09,2.03600705482267e-11,0.0161460701509191,0.00129920716521355,5.4854179910601e-05,0.0220979376164065,4.24199594343668e-21,1.40604593271521e-25,2.59937102652242e-20,2.85979396614433e-16,3.29412559413859e-19,2.83835458941848e-11,0.0154133459512131,0.0232033414926072,1.33007912709583e-09,0.00406007818311395,2.43279962823771e-17,0.00619777711238387,5.16589738584803e-19,0.00560548580692313,3.19375150353795e-07,0.05263563971403,5.48662007921812e-09,5.88743892744717e-05,1.53565704883028e-26,1.99473501800702e-14,0.00430800031131319,0.107467445711298,0.00823444472034388,1.60442174350536e-22,0.0222178321117575,0.001945614349033,5.20275406245732e-05,3.69004442675729e-07,1.8387484676133e-22,9.72957982203624e-08,1.06117434145375e-38,0.473478934974474,1.34514608209186e-29,0.0441315566676542,0.10013437974853,0.0140967623640322,9.84945164874247e-09
"X159",2.6516741172398e-17,2.24346433677525e-29,2.04314255635884e-09,2.28209378896152e-16,3.58626693442793e-50,4.55702934792275e-21,6.94296053183169e-26,0.00177080113206464,1.70738744234664e-26,2.75115237945109e-11,2.00290368041346e-10,0.0108956212080486,1.11943456056108e-06,0.000373405280316913,0.0133222262107036,4.10878754550023e-24,0.00267854191684784,2.00544334434657e-14,0.00488037065086066,3.8656168250383e-24,6.18215121485141e-14,0.031935216808825,1.37050695152599e-30,6.46366327114789e-10,0.00389095927598296,3.95511798444467e-19,0.000171937630609861,4.0554426209007e-18,2.62130844847974e-06,4.13845365609926e-07,8.18230117695321e-16,0.000288244829613991,4.32817396463334e-10,1.71746061230273e-25,2.89694178017346e-16,0.00807604516642001,0.332856256603659,0.098424775603844,2.98395276424632e-28,4.99130686378102e-12,5.62773166696759e-06,2.05607265043223e-10,4.65193653647184e-12,2.90735849985968e-05,2.24538069011724e-13,0.00953516044542176,0.249150766916665,0.000262281523126029,1.70074183362757e-31,0.0861232826014916,2.4745766458503e-18,0.0440970844968181
"X107",1.8280637289316e-09,1.52835598939851e-13,1.03076733498017e-21,1.37411367853222e-19,0.000231292428173053,2.03297545777066e-37,3.83313321850187e-26,2.50512242842789e-08,9.35615809251275e-20,0.00539860616314442,5.25559203869806e-18,2.0302144252923e-26,0.000453344971797694,0.012040009748176,5.16075367934071e-52,6.04549528462703e-10,5.66029317478113e-08,3.96297291862295e-34,4.61878250940863e-18,0.000177210715990924,3.93148031603529e-16,0.00767688857130047,3.48723893829508e-05,1.09064725514651e-05,0.00887128045711798,6.51621187641609e-09,0.000655090601192894,8.46460491170615e-10,1.3085084887556e-07,6.16722467732645e-10,2.11162510777765e-28,0.000224457414764629,1.57716138469992e-15,1.72940114891601e-09,1.01661588007833e-11,0.0177209313282046,0.318005720534105,0.302589023059299,0.00521376119306923,1.98293482433982e-28,0.0058866005118081,0.00197444451410534,1.99079175904035e-28,1.50410604578596e-06,2.60487068391407e-20,0.00109846800540516,0.0509911849252074,0.0155008367939563,3.39534273641901e-16,0.0642126541752249,1.36034576872484e-42,0.0546980977803643
"X94",6.36589021559401e-13,0.00966349405928121,7.51845153385034e-19,6.93819476807526e-10,0.0907419005402423,0.000707380509685288,0.000542885178903778,1.80343292742784e-11,5.43650443379198e-13,5.81162692873029e-05,2.08797608697709e-07,0.00444394918606828,7.33787399531349e-07,0.0188168837893396,0.0142881740067568,4.66260055723297e-15,1.01234047771032e-21,0.000770573914309204,2.0360936984243e-06,0.0116930120334456,1.7539955563821e-09,0.000442295625157523,6.43523145468555e-12,3.19055552962252e-12,0.00571986573506265,1.07607490694387e-18,0.0126553292834437,3.93550997871206e-06,1.53722674245721e-07,1.63272845470254e-07,0.00225206127531709,0.0126098439636273,0.0120150792291909,1.27740985942887e-06,3.12931296336599e-05,0.000172665837165479,0.0934616767519163,0.44680215549223,0.0155413883373731,2.10695468838129e-14,0.00916476432559135,0.000361491891984546,0.0311504614621081,3.86481939953692e-19,0.000817940541312308,9.51539217890024e-16,2.12921354824448e-06,6.82507515673866e-10,0.000113774871001717,0.0606262673786739,0.0009006795266179,0.0135227252217046
"X145",3.45865324218428e-08,0.000322524207734522,3.39583026209872e-06,1.05585983562919e-18,0.059442142723151,0.0538291779096366,7.95322799490651e-11,1.92200747168417e-08,2.16385538490564e-19,1.05325316182533e-23,8.93068468081452e-13,0.0268805020434018,1.81341891664167e-13,2.38260722585452e-08,0.0995365216076841,1.34598872853177e-12,2.89258676577953e-07,0.00518013775346509,1.37829584134674e-07,1.20917875741782e-08,1.21526142732276e-12,2.1739513778614e-19,1.58296140552416e-12,1.06074706359456e-05,3.10315482159447e-10,1.68033070838883e-17,2.96632208453305e-07,1.28350492953948e-24,9.11090691375039e-20,7.31027777565919e-14,1.06018028694636e-08,2.4110077086823e-19,3.41263424774874e-16,6.97820768858786e-11,0.00215788332587611,9.96818026268656e-05,2.76377309637719e-23,0.34943894425771,5.85230602315838e-46,9.23466205222736e-14,5.34196714406107e-09,3.66828444624129e-15,0.169750799845694,2.1720154623333e-25,0.0794017780161626,6.44182767189814e-12,3.77502990963893e-19,7.30006861411076e-16,1.60479601165583e-30,0.0498075462653699,0.0183447088793806,2.32960938789386e-18
"X160",0.000254530273265183,0.00195319655854868,2.57826371237269e-18,1.32814040560374e-06,1.61898587957879e-13,0.0583831705496774,1.26428232331731e-24,8.95913238023622e-16,4.02242779238274e-16,4.3745827529341e-19,1.01794298534764e-14,0.0552776105003849,1.33098912373155e-13,4.6614011370325e-34,0.0609538485322718,2.10276536425491e-12,0.00797109847045857,0.000914254361655075,4.72015191952287e-07,7.4427802371366e-18,1.72310644087487e-05,1.22444560004738e-21,1.4910787460153e-14,0.00612475538464327,9.82321792796214e-17,1.06609954617755e-10,2.12673535877762e-13,0.00375612996434255,1.72744264824165e-21,1.29366229779523e-10,3.90811352683294e-10,8.91026553859892e-10,1.0399068685699e-08,6.6348682593843e-09,2.16805539731066e-10,0.0245289725368868,4.05416077270906e-06,0.137090205164046,0.00894132913252847,1.58763925780222e-08,5.16058011551501e-06,1.26596226410121e-11,0.307298595246426,3.66793602924506e-24,0.179443141944915,1.38270396196125e-17,3.38887382624453e-12,1.01820070240393e-16,1.30371045942749e-08,0.048131177798011,2.22474879125307e-15,6.73687098656033e-17
"X136.1",7.33099537218933e-05,0.0119730071131252,2.36031541811014e-27,0.000131940119376987,9.33691544457499e-14,6.94873113271363e-26,1.02677117751448e-12,2.12008093388051e-05,1.01829719146454e-13,4.58317281455734e-07,6.79979268477432e-10,0.0325901960314699,6.48026368903331e-09,0.00103289166341423,1.2828777233299e-15,1.07906279215876e-08,3.15581126720883e-05,0.0142439097110301,2.30588340297694e-05,1.07260757520537e-08,4.18424014186755e-11,8.1634416890045e-19,5.56636024424648e-05,1.56797318727782e-12,3.04409827062672e-10,4.37008780535487e-08,3.28853078190492e-15,0.0246291967489167,2.65265514699814e-09,1.90521450076083e-08,9.08761442437567e-14,4.0426091750057e-05,4.64149883163166e-07,0.000993323843775408,5.15928730368271e-17,0.00912330165793161,0.00529449653955239,0.0491372760096784,0.200590155237303,5.84472160571044e-12,1.64834015961653e-06,8.71766264521011e-08,0.276373794697246,4.80580821536458e-13,0.21510714042075,0.0112847097438462,7.47916456109645e-06,5.77437208362254e-05,0.00379360407433264,0.0452594718647252,5.48243821969763e-15,4.5548012977076e-17
"X222",1.0738215036816e-12,0.160102524848865,4.82218227367495e-11,9.52056874518821e-05,8.5836780092833e-14,4.82396905426841e-23,1.95092221993347e-07,5.4656650556955e-11,2.48148251839626e-16,2.61880915547136e-13,0.00349365698682965,0.000386514007050626,0.00964236230666276,0.00199382401580004,0.0378070121412893,2.82088891537711e-20,1.25579406210868e-10,0.000152923549032521,2.82548996787596e-15,0.00338298188070128,0.00231909715905944,0.00355222823422088,1.51833533014656e-07,0.382180826090208,1.37537859741702e-16,0.00168686149126631,3.13164760443778e-08,0.00169449131972076,0.00437676192550077,2.06554507650922e-14,1.03035829719003e-12,6.53158587291156e-26,3.66010605724302e-05,1.35795757335457e-15,0.00151844592920048,4.09759846681246e-05,0.00369871093551192,0.00878952293975305,0.141163479210201,0.000314949899432027,4.21081026453471e-07,4.39810340135517e-10,0.00549111441713012,1.34370898975346e-18,2.63591038691498e-13,0.163393183926982,4.12186478276103e-10,2.32891297918511e-23,1.10123745314728e-14,0.00104844150119551,9.16785850790424e-05,6.68479420224941e-10
"X157.2",6.13029585482148e-05,0.297042189932409,2.81557766144263e-09,3.31725669382831e-07,2.94761722941045e-12,7.71674425225701e-14,0.00453199855509747,1.02329851992371e-17,0.00402674384425766,1.29721863181871e-08,0.00241706675261886,1.62135028735962e-06,0.0196449586275631,0.00718980702004222,1.58272982115677e-16,1.45507102412883e-05,3.0624199033148e-06,1.78636335776187e-05,7.39377347999233e-16,0.00284519202620863,0.000138880768483166,0.000246084164298464,8.07052178175836e-17,0.273817855662357,4.92504886228751e-09,5.63467786129957e-14,4.51995594689851e-13,0.0199290440772403,0.0980501932165782,1.11507112253015e-07,1.11524659735377e-31,1.94890990284601e-06,5.28651807984674e-06,7.31108245007904e-05,0.00236975699150117,8.03605793388927e-15,4.61053246010781e-14,4.73533346076123e-11,8.08282920304556e-38,0.00171433992822784,6.12253322093253e-14,1.10453346255702e-21,0.00678048873923271,6.01229902812325e-07,0.00453761711892299,0.143632390380362,1.76324202018184e-09,1.72003039449572e-06,1.45064531797998e-10,0.000425877543797674,0.000646657438509498,7.50721487874126e-09
"X149",1.94991293084431e-05,0.398407096760677,5.03027402658167e-11,0.001063578651565,2.94267157462938e-14,1.80334882120202e-35,1.51841712035282e-11,1.25207254355645e-10,1.05605615161191e-07,8.19614338477563e-24,6.14239014440145e-06,1.28406075925599e-05,0.0254658626937795,0.00229484124114771,1.05048271953804e-09,2.32658150174708e-10,2.05923068167443e-07,6.92362398688274e-06,2.52823271205406e-13,0.00457728970374985,2.48310337948775e-25,8.85976984601429e-14,0.000811822728428277,0.0595604346554297,1.65423166699934e-27,4.02877703660698e-28,4.64084439447967e-36,0.000428113498900306,0.153783079340171,3.47630860132363e-08,3.15830996580147e-31,0.0232672361841414,5.50477979272073e-12,0.101922980980511,0.00301331144575037,5.29485110522612e-10,1.29682608696183e-21,5.07899251406734e-06,2.43456426180182e-42,0.047676967012964,3.27415066288827e-15,1.69305160515545e-08,1.87058570368959e-13,1.62725606418552e-20,0.00783437894053124,0.0604572966099586,5.47625323732623e-17,0.00662851121321125,4.37581687793476e-11,1.10212535645705e-19,5.64718163126894e-26,2.52417838438611e-09
"X109.1",1.03971732992288e-14,0.355038197221601,3.4468200629746e-08,6.44348012857524e-08,7.25435895558616e-17,0.00640784718701949,9.99562169340067e-29,0.00470036220315254,2.6207807023342e-16,9.11673501346553e-24,4.73913997973078e-17,1.91882233120158e-05,0.00118558841631734,6.22296788941019e-06,0.0152129683705942,2.10367024812508e-15,3.79805359666955e-14,0.000104156363206992,3.42924066644342e-08,0.0124357757567496,9.56799633047146e-20,0.00237071356320009,4.06076448001089e-09,2.30314043991178e-32,2.57273356383088e-24,2.76767122772976e-27,5.14728617187207e-09,3.26114619790633e-26,0.0556270655194131,7.79545940485685e-20,1.05836273372512e-16,0.0177222503707205,2.84202280393226e-08,0.272853423837264,5.84358783910913e-12,0.00160681209023509,0.0046695774461937,6.62510856052832e-14,0.000522563143139213,0.0751626804439822,2.08142095414644e-10,0.0963335849190464,7.83906602891964e-12,9.04532444370876e-13,3.86583253861813e-15,1.23870439529298e-12,5.72958311786656e-17,5.33641544739046e-14,3.43793935330733e-12,4.4045761362817e-24,7.23599917969758e-30,1.62354196153134e-08
"X92",4.46253807653381e-12,0.184197912481417,2.24132714313053e-29,3.73133541740314e-22,6.83983678526589e-21,0.0163224029789788,5.00644797061962e-21,1.52196073055935e-12,4.15277335432807e-11,2.44425745607377e-22,1.0959381653404e-16,1.74110410406971e-14,3.98974721312996e-15,9.43512898008187e-12,4.50391196438567e-08,6.72084013177474e-19,4.01712336574438e-23,1.21877580334455e-09,6.7057957770728e-13,0.00451464660232943,2.21259585804808e-17,0.000210208656678266,4.16253129870877e-19,1.148057204314e-08,2.69359132921411e-15,6.94925769212444e-15,0.148215813101127,1.66213245892943e-16,1.25964894772705e-27,5.55058597706646e-32,2.26753944934974e-11,5.78063601257654e-07,3.47054647514621e-15,0.270899601075446,3.76179736156245e-31,0.00224519910382276,0.00184954945589147,4.69031569123699e-20,4.45348759619406e-15,0.0786764260194875,5.20942940236433e-19,0.223426932188754,6.33313831583116e-06,1.20191410443514e-14,5.60885172734137e-16,7.78112886843596e-42,3.99056648205421e-07,4.62007110112835e-34,0.00629698692808086,2.04544799804968e-46,9.62526012029873e-06,3.64955313369115e-11
"X161",1.63597466417035e-18,0.0461050015817656,1.55011598882724e-34,9.02606525583328e-19,2.29457366082701e-07,0.00259724308348678,2.5226402185042e-08,2.86911176206567e-23,5.73820721340382e-05,1.96743143781104e-32,2.53258864776658e-11,9.45244579018209e-24,1.25546222901804e-29,5.15355843619056e-11,0.000175571410275192,1.02950990124452e-22,9.53597896411734e-12,0.00339398329372102,1.14290545267259e-15,7.74196807423713e-10,1.01746627304585e-10,7.61949674072093e-13,0.0636865280229292,0.000825322517939886,1.06722426901156e-22,1.1813048637171e-12,0.38265361555312,1.11600192187968e-14,4.22059346060428e-36,0.000718491632239275,1.59756422466118e-19,1.36121744363591e-28,9.05991609102244e-10,0.0854977510732328,1.35212372677598e-17,5.11921281616208e-11,1.58084808887314e-09,6.83418786127879e-15,3.51648113110361e-16,0.0906737084185602,9.58605359952424e-20,0.250473906266254,4.72643317046436e-06,2.82989114275627e-19,1.96871670129976e-05,1.36840663283761e-07,3.77334263412163e-05,2.6289129984845e-15,2.10143084362019e-06,2.09002655520192e-46,0.0202486988890869,1.74480495013194e-19
"X188",1.93777912859479e-23,0.00776050848011178,0.00369123484556643,6.75878038595174e-17,1.25113503910041e-09,3.9085120263864e-11,2.44066316573825e-05,1.28922373403405e-06,3.00118522691822e-07,3.52066175551654e-17,2.40635429347514e-12,0.000335825957198197,1.01269476460652e-38,7.19319914024894e-17,0.0211285113833405,6.66711431572359e-06,1.03757049723918e-07,1.57434189951943e-12,0.000447966763412896,2.6183932712609e-24,3.42055534872575e-21,1.80559140865855e-12,0.260058780906153,2.54216158965495e-23,1.58687404070281e-09,8.36507275115182e-23,0.355114452097471,1.81333330218918e-09,2.48969527303668e-11,0.000646826098497833,0.0767983438659086,1.33971083749493e-14,0.00187886651105908,2.96289164212699e-41,4.09512861982602e-20,2.46027924208327e-14,1.99570156632648e-05,0.00158321249820071,6.70586674833751e-06,0.080932286528778,6.39927295334846e-14,0.10945150343261,3.1688257160309e-08,5.86107509945101e-12,0.0043380408475774,1.14876454173819e-17,7.45264001795584e-05,4.10337122186404e-07,0.0415894738317077,1.48863950783923e-20,2.21754494165803e-06,3.80600751527486e-07
"X172",7.24587342708824e-05,0.00916890907255818,0.0151086440212538,4.35033328889934e-14,3.95878111214187e-25,2.11737458146269e-17,0.0002059481467599,0.000105843064011284,5.79104672251998e-13,1.67688763980876e-05,1.70026209989239e-16,4.34100785772825e-08,5.23426679208976e-11,2.60548681829032e-16,4.84039831593837e-05,2.49022826538977e-07,3.70992292248013e-13,5.45077266630495e-06,3.55794524184786e-23,9.13611946723741e-20,2.83647831298395e-20,2.04995144502134e-17,0.317768595257401,3.07732422710815e-15,3.78383407298141e-08,6.27412313365417e-09,0.118991303414657,1.55483425318392e-17,1.01104812269751e-20,1.00968837819897e-18,0.252439512059988,0.0046799580109231,1.26483529403276e-10,1.37270501250531e-12,2.82759429951425e-23,3.21146722643879e-14,3.04392915778367e-05,2.13517745924935e-06,0.00282088859480099,0.00894336078109511,2.01010817314504e-24,3.08265750277038e-06,7.35605996535376e-15,0.000973088255223592,0.00895650036916978,4.78075494535121e-16,0.064051737059988,1.09482407398282e-08,0.146965141621016,9.50157750605999e-29,5.73508421889888e-35,2.91431197639619e-10
"X140.2",2.46385483753044e-13,0.00193589460642753,1.87072636135827e-22,0.00337580057851336,2.98078990957974e-14,0.00438981490169741,2.5348621915387e-09,9.06868429071992e-20,3.88812287768333e-09,2.76485308431071e-16,9.79493963503897e-15,1.13067148172225e-22,2.83637112185188e-10,2.61720647122763e-12,0.00017055217478225,4.85677675370582e-13,3.09157302951808e-19,3.49212728799281e-16,8.32636160126382e-45,5.44230017851436e-14,1.65138090691838e-21,1.39578301035172e-35,0.135965604069741,0.000283096983954545,8.01231428442422e-38,3.17305311264815e-18,6.72976953586035e-07,3.22500340334742e-33,1.78595355770509e-24,1.69384770053472e-26,0.32434093975263,1.18504871097826e-14,6.41045481888051e-28,1.09497851753471e-07,2.9268640862646e-20,4.76236532349931e-49,2.05065452913446e-06,7.6419973201884e-28,8.37592634745575e-07,9.83807268941442e-32,1.76472839126163e-52,3.21634421954177e-37,1.45655895741293e-16,2.43652053549076e-15,1.4008451237595e-19,1.23329976500739e-44,0.243368283629552,1.66639440150127e-29,0.231239504584676,2.31966323990785e-52,0.0181816659555209,1.67516226795803e-29
"X141",1.6206447854327e-20,0.0023703415908728,4.62910043348427e-25,2.15702092960561e-16,4.64269164510007e-36,0.0088695785561717,1.17990169881532e-17,3.5642933782267e-33,8.09140457735792e-22,7.49142292945624e-45,8.4831696869664e-15,2.41713672847603e-08,3.57180124959189e-13,3.41265963978032e-18,0.0525132463562291,2.22430926911044e-11,7.61755245147512e-37,8.34814006941555e-09,4.62360914976475e-36,1.49318091086234e-27,1.7846540524172e-33,3.35001512929342e-43,4.66742598864059e-05,9.22309375768655e-26,7.4143457146509e-43,1.84331450343321e-35,0.000495475893876488,3.24303890444371e-48,1.90730644760797e-18,2.68285497208325e-14,0.194844618546634,5.71781903174097e-19,8.90025564266679e-21,2.12355502460628e-37,5.43476929449268e-24,2.88454061544442e-64,0.148875737089505,1.43270259583292e-07,1.78483400762454e-29,0.00999095192253424,2.45731781645229e-46,6.61814544219391e-08,1.1273593490619e-09,4.36955755327293e-28,4.6884869151932e-20,1.11651517817023e-27,0.289898467157341,2.71353045999964e-37,0.176278501911887,2.38881979743959e-71,0.0967372319391461,1.41730654650226e-43
"X189",2.53338619489483e-11,4.58347657322258e-07,1.02533585065493e-14,2.51286888249805e-05,0.0272791692907094,0.0121988335759951,4.7979739116593e-12,9.54887893492153e-15,4.89193262483933e-16,8.92823751136479e-24,0.000872300728118062,2.04238063792146e-06,0.00402626698267508,1.74862665178922e-05,0.0682659641035042,0.000214057443187298,1.14276152530056e-08,0.000632240351403113,1.22531131194743e-10,0.00141852013927268,4.21343692412876e-11,1.11079122656315e-22,2.66830320176781e-16,2.14216039241091e-12,1.02862571098191e-18,6.77113632856812e-06,1.9362716092822e-06,2.57803939243006e-24,3.67715663243577e-13,1.52417735116948e-12,0.0441959519106494,4.5298184002477e-06,1.7164537782551e-14,1.19930549201646e-18,6.57129678530511e-19,6.96425225686931e-21,0.427958988846809,0.0479681664026626,3.90401994541043e-27,8.65314230623197e-24,4.86341536373997e-09,7.55111124543932e-13,1.70739585925108e-06,3.51294838033514e-08,1.94663548714677e-05,0.00624377933595653,0.135437070669152,4.53076212477001e-12,0.0813266154795105,1.425635606907e-31,0.0942245687305981,2.30070222690968e-21
"X164",3.59348753749164e-12,2.42813073216634e-05,4.10369201447991e-19,1.93146643146881e-07,0.177094206766928,4.89731630528245e-24,3.3578702136654e-05,1.27560227377135e-12,2.71608439483798e-07,2.25859506100538e-12,8.26098822294286e-22,1.65666275485061e-33,6.25719679723396e-13,0.00712874293116277,9.39017065736847e-21,3.30263978012332e-09,3.97018592736548e-12,2.39526171358462e-28,7.73217723287407e-31,0.019626253807717,1.38659113308134e-11,4.37264234221813e-19,0.00726240253151773,3.52044839675769e-07,0.00167038931372234,0.00753740950187647,3.67535414454584e-29,0.0203548442297612,3.49265168777706e-10,8.45089755812867e-14,4.10208211365409e-16,4.23714108543618e-08,2.64092512354767e-07,2.30491537810646e-13,2.35020679150124e-25,0.0147876781827196,0.390403411156052,0.181783096581509,2.2874785308857e-05,5.76812836017929e-39,1.34565694552591e-08,0.00124378993049004,4.66611514707738e-24,1.83290856712275e-17,4.71305782093802e-10,1.29480180396397e-05,0.0108606720517102,1.80088575026211e-14,0.0306052313584646,5.45465705855529e-25,0.0125888804301109,1.9286397302465e-13
"X149.1",9.59893075866016e-11,0.0209324540225212,1.63244274913505e-08,2.26028248593001e-07,0.314636505629911,5.42322953477547e-18,2.09764418309571e-09,2.56860411186222e-12,1.28470238760125e-07,6.60448118127668e-16,9.03632198910883e-14,4.87186585869895e-13,1.41965571537711e-07,0.00824115800363713,0.0156482203647744,5.34021167162388e-13,3.71327392794566e-23,0.00426358156505071,4.49544969988096e-08,0.014418359178199,1.03876279724509e-09,4.31402858316959e-14,0.000268358545674017,1.69914314824762e-24,0.000107508905067146,9.97879458198691e-07,4.32550444967714e-21,0.00729663396233694,1.50670848411873e-14,6.60139828518444e-05,4.35052582932997e-09,2.51778483587999e-07,2.18664458191218e-06,2.90355607153174e-17,1.76356827418436e-06,9.58458766554169e-32,0.115907869602506,0.300803674619895,0.00765179355805729,4.36196295743885e-09,2.47067980494732e-14,0.00311941181007416,0.0373899664331693,1.53695689900245e-19,5.86074259358459e-33,0.000356760237601838,6.16616089833591e-09,1.05811718671569e-18,0.0150258081572884,6.73353023393698e-31,1.34318047136653e-22,4.58750617308779e-24
"X165",1.27573947318768e-13,0.000671382714960647,0.000140629996844143,1.97651366722565e-15,0.217619590559702,0.0250264287009259,8.45084348456304e-27,6.05800674610931e-23,1.88487653060654e-14,5.26248007681231e-20,5.07176603328886e-09,0.00082200774617261,2.62896683837907e-13,0.0128559274915821,0.0979876025180287,3.94354768163598e-12,2.46939021230506e-06,4.40599150633868e-07,0.0248727799542932,1.84122146756225e-13,1.4968953939638e-08,5.12494088646225e-24,7.33726667145919e-09,3.93660164761152e-30,1.01055360801212e-29,3.84395255698975e-13,1.99943800951117e-12,6.578907328654e-38,4.68061929853085e-30,2.72911347669712e-17,8.71685058525594e-19,9.02029184098098e-33,2.31801336834549e-23,3.06088921942332e-15,1.60270114331187e-05,3.89811805570294e-44,3.5223778953752e-16,0.260511743538296,1.00900676529166e-58,4.82489955685135e-16,1.57595942088678e-27,6.60960996786534e-17,0.22434497946841,2.56137536395976e-05,7.28418207680672e-31,0.00827027690903563,0.00150099399051721,1.01950834031065e-22,5.27714469990666e-12,2.27158194326899e-32,0.000179140466350962,2.31310363509751e-39
