"","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25","r26","r27","r28","r29","r30","r31","r32","r33","r34","r35","r36","r37","r38","r39","r40","r41","r42","r43","r44","r45","r46","r47","r48","r49","r50","r51"
"X79.1",1.19433398233771e-11,6.47502896187767e-09,4.30503377296624e-16,1.327546326312e-19,2.48784321331252e-11,9.35566337241282e-05,0.00102778591439854,3.62047948806889e-14,1.67241609332356e-13,7.5427214259199e-31,1.07092259764887e-48,1.81540879713511e-08,2.55863273905126e-20,0.0364825829536463,6.63397581308222e-10,1.08658257290361e-14,0.291075683700244,1.17815542106849e-22,0.0507833622873607,1.0290735163609e-07,9.52233656196899e-13,0.0115626662476518,3.03965672195102e-11,2.7154682806617e-21,0.0207813538379037,3.79870888562135e-06,1.2089022165975e-22,3.44288085260931e-12,3.15997706152059e-19,6.42145109645316e-20,4.00273764363579e-19,0.00133596222199046,3.55162793817574e-10,1.32650962322319e-07,4.63655665181417e-12,1.39666033737611e-06,0.00945261438898737,1.41810049333728e-12,1.57423234240237e-26,2.18235900385211e-48,2.77605920608772e-19,9.43929570610004e-15,0.271528452556694,2.29661145424604e-08,8.39250231525968e-06,1.48214352554809e-09,0.0109076281394569,1.01219687062544e-18,0.0659626461440842,2.6750351855124e-08,8.65835333230157e-11
"X97",3.19475324557669e-05,1.05753037581593e-05,0.033548602315066,6.55066485399956e-14,2.13961755474358e-07,8.06348785396252e-12,1.15644847121535e-24,2.62368523398294e-19,3.94921642117756e-07,1.84938790328866e-17,1.02598366163728e-28,2.71502916612255e-23,5.05683813973079e-20,8.01078999175e-14,6.37346549995801e-18,3.47512959162931e-19,0.220635106485863,5.73368705119267e-10,0.0278292339634522,2.86895381363224e-14,0.0071236740650548,0.0187827751742612,1.49237269520173e-16,1.16757343022304e-17,0.00936246017380932,1.95127266279717e-06,1.29059226352112e-12,8.90020173051107e-20,0.000742363219633315,1.81694389353641e-12,1.15175335465608e-08,5.41713124534737e-10,1.74211222617098e-20,4.32044376626765e-06,2.23879914388616e-08,4.93245543936953e-31,0.00229318587657979,1.46169440177799e-17,3.33842960914807e-08,1.28528661793788e-22,2.33558425045369e-22,5.99492419130201e-20,0.240957913787401,0.033572375852076,2.56449835080451e-12,2.03207378530092e-08,0.00760173143850444,2.41525754146909e-17,0.176520233129167,4.63899544405065e-12,6.55441774769613e-32
"X123",0.000412862174892772,0.00486518498152306,0.0435985981965543,1.02328195702252e-15,7.53734120754872e-07,3.34823460391923e-20,6.29791923489791e-31,5.87142462557376e-26,0.00876958894401614,0.000317175518824244,1.23090958935559e-06,3.99342007452281e-33,6.41734214826769e-27,1.94921865959399e-31,4.1833369448068e-12,5.71383438194544e-06,0.156017613148987,0.00263979298338401,2.51615758938494e-13,1.1227387203682e-22,0.0115231292051115,0.0229787103934576,2.60660341903525e-17,7.22907635090695e-11,6.95927374353849e-09,0.00523598554137223,7.39616206794572e-19,2.15155233461665e-21,0.0206041783089469,8.47082457337187e-10,2.86926441689339e-15,6.61270787050789e-05,7.87781279423539e-25,2.74273283112852e-08,2.15671288397698e-14,4.39890961577164e-23,2.72406325858741e-12,6.06751493939258e-22,5.26028897485483e-09,4.98598277187753e-05,6.35031260784471e-07,1.13620824057189e-16,0.146960799645945,0.0577898166006262,1.96617471730757e-23,1.99905170134652e-16,6.86994367776269e-06,8.72634434386286e-10,0.296984567020076,2.36561583702724e-09,3.25606546131413e-37
"X63",1.80825362230441e-14,0.072704903084059,0.0360461900294433,1.82577343438195e-10,0.00738278967245209,1.12391828956375e-11,2.36762078020078e-16,1.00135640327235e-17,7.09394925035964e-05,0.00885353552396007,0.00083061234600689,1.55727696971026e-16,0.00323436701098711,2.62724204769618e-19,0.0062612703439056,1.94756362040393e-05,0.128920838760337,0.000107884803927369,1.3852330005419e-28,3.76699419396319e-16,0.00272793232084118,0.0259193834581236,5.2484372761841e-16,2.59278989889753e-15,4.81990930541456e-16,0.00608513504046742,2.30529140399325e-16,1.31221276539378e-16,0.00935837752771122,0.00043003043477388,1.3386860116619e-12,0.0040009131734177,2.39153028422344e-06,0.00648614500627025,1.74225832069824e-08,0.000577887324582786,3.34722038205791e-09,1.85176350565011e-09,0.000416651889667827,0.0116774000367661,5.43756877057312e-21,3.06396973622659e-06,0.0622367109875811,0.0323524518335483,3.26255046652847e-19,1.52454451788266e-11,2.15822878190847e-08,0.00127827529176071,0.371922771608245,7.63268017042322e-05,1.78889052285312e-07
"X111",1.05933418484958e-15,0.123016206893162,0.016936616583421,5.445082571449e-07,0.0188311508506119,3.35491668116557e-14,1.60573032269895e-09,0.0023755438858513,9.561649996786e-17,0.00820803236465401,2.28252161392e-15,2.43321310651821e-08,0.00508657723914597,1.79829275661526e-10,0.000384827939677327,1.24026035709389e-21,0.110619881983014,1.19479702496096e-19,3.00745003199345e-11,4.88489808308154e-08,1.31756350417844e-06,0.020704657122751,9.75639564269479e-10,5.68794954385396e-07,4.3684432179777e-06,0.000926661052211546,0.00194509177702562,1.46929294522498e-08,5.35420367572141e-21,6.96483099544216e-16,4.50280022030757e-09,6.2518610866018e-14,5.66923410878344e-05,0.00126380667700828,0.00101333502227858,0.00537270871859194,3.93231147036031e-16,1.76624052540436e-08,3.85493099550782e-07,0.00913611618156272,2.27350252196632e-27,3.71350436326089e-16,1.5891980893393e-15,4.72944763181237e-11,2.69326174406017e-05,0.0453349118824796,4.67633606484299e-09,1.53905650236218e-09,0.409523555650461,1.30923980278328e-05,0.0368536406330397
"X127",1.36938427412915e-07,2.29042134667157e-16,8.22185243178193e-15,2.83312093187743e-07,0.0323618904141505,2.08749679006306e-10,2.45051959731376e-07,1.29096559562063e-06,4.8068042665933e-05,0.00799164849556242,4.19863763718043e-21,0.00908496215879071,9.46405811019712e-16,2.03247025103732e-08,0.000533860650146735,5.24043990399419e-10,0.0999640717448092,1.87179109508005e-20,5.65390860499541e-05,6.6463202810634e-12,3.28311089404089e-08,0.0235831067166244,6.33618376919605e-13,3.4600594574929e-18,0.0219857827389424,1.86254725588066e-05,5.5774729142241e-07,0.00305047147494267,1.39388655416832e-24,2.33174969105658e-10,6.36325282901261e-15,0.00522674637220377,7.8391329415693e-09,3.16104105117093e-10,0.00130949782074465,0.00697218596076211,1.65827769937991e-10,7.32994414087015e-08,2.16804414029672e-07,0.00489010909587713,0.00544926325194168,1.84693395751582e-05,2.22463511125497e-39,5.24305899149079e-13,3.03513862296276e-13,0.175833621126127,5.0287613356218e-14,4.51478372700964e-15,0.358788026647253,1.18012586387723e-16,0.0437651561686918
"X139",4.97379019929003e-05,2.55111508597925e-33,1.81045900588894e-32,1.9474226220077e-15,0.352521055206916,3.55175509623425e-16,2.84848057608863e-14,6.68734652686906e-42,5.31491660318254e-25,0.0892090621720245,0.0111881426039078,1.74290428877422e-26,2.36934635800999e-23,0.0196974245037676,1.12292135880433e-13,4.87410979683133e-24,0.0224467290656423,3.66722107214836e-17,7.7208605789092e-43,2.79400327577117e-27,5.23873434295329e-34,9.91988018462376e-55,9.82904452382574e-08,4.41842200583792e-20,4.29671395389753e-18,0.0644496918420718,5.8908958067801e-30,5.04490269368352e-32,1.46096350253463e-17,1.96193525351358e-15,2.41662780782154e-24,3.55669940014456e-17,2.02930758271531e-19,8.15229294906001e-31,2.92118123327813e-22,3.51587748264306e-32,2.56541561002477e-23,7.76912175330502e-16,6.22474273885801e-08,0.0149584496991403,0.2389213941735,1.61664761984467e-06,0.011757595330894,6.22166260943501e-24,1.92480532832764e-35,0.107438969722414,5.84136702903882e-25,1.26828357326293e-25,0.0100505787046569,1.03822521655814e-47,7.5745456338579e-19
"X131",4.14319620917135e-22,0.0961287846766203,1.26232919110541e-53,1.51649777657635e-23,0.364279129009449,9.24479580275035e-22,9.45057350314486e-17,8.25718584331499e-39,1.19195195151318e-08,0.14046070186753,0.0508139771485627,5.61667947984342e-40,9.35832322381082e-25,1.56280017372306e-08,6.64194830127392e-26,8.91670398058864e-19,0.0313442477732622,5.26800833276396e-14,7.38837145427696e-54,2.49269201249147e-28,3.77613092496742e-26,1.4741813772346e-52,7.18082475521974e-10,1.81578628635967e-40,1.91305887260976e-10,0.108029205029871,9.55240679590959e-06,1.11097628511275e-21,9.3631279132057e-26,4.96247098486672e-08,1.17278881279294e-24,1.26724964340221e-46,2.68325770435306e-30,9.88539433217966e-38,1.37490752361794e-34,1.33156419978404e-17,8.17321067293045e-26,1.19776087526566e-11,0.00281351214344329,0.00279591377126058,0.140954137127396,4.26971528171723e-26,0.0201116097126644,4.15652740459201e-33,2.7794817957636e-39,4.21325231601148e-19,2.58523115027802e-32,1.45916028932873e-32,1.12356496807793e-08,1.23745976566835e-21,3.92524116719107e-29
"X102",1.72013774733422e-18,0.0259703759309516,2.64731922450497e-16,1.32103743349069e-14,0.252637963266917,7.28336145631893e-17,4.68588581074772e-12,2.55896049090459e-13,0.016320678379416,0.136608613598086,0.166564184966237,2.38293720150934e-10,7.35066491922522e-22,1.07487589673562e-15,1.13449212607642e-24,1.68390017050046e-08,0.0487938416726613,0.012396513888384,0.000142136514858319,3.99754009397407e-13,1.12125162518699e-09,2.37482380246888e-45,2.01327650965814e-08,6.79399309480777e-19,0.00215300880261624,0.165325860925183,0.00173609386209744,5.72831498482895e-06,8.80757597796035e-17,0.0032238067470285,3.31964525920496e-21,1.24502622038275e-19,2.46229000464034e-20,2.66502038562251e-38,4.60180765822231e-32,0.00198353922716333,1.4008673090126e-15,4.20542543054489e-17,0.0151984738961629,3.61612887788426e-14,0.0184042093010979,1.81682940218457e-18,0.0235836341495591,2.31276362806844e-17,4.0510940995258e-16,1.02557064755515e-47,1.62153947661337e-22,1.98210323487338e-12,1.98110033168423e-11,6.3189890255081e-27,4.65619191956743e-11
"X54",4.09591774256161e-13,5.413085187264e-22,0.0570371087432725,3.4313810948473e-19,0.120503597930975,2.36376571417352e-14,7.00385031253922e-14,2.10680535827067e-08,0.0144691606962442,0.0908033767709256,0.309103855797904,8.29534795584065e-08,6.87603494174589e-27,4.71335135174385e-27,1.36595110746751e-23,1.12152123981872e-14,0.0569279633703256,0.0170472756084,2.3954800490419e-09,3.41901337639083e-35,1.55071556408681e-19,4.39323115384602e-54,7.45550989252403e-12,4.34395086981124e-07,0.000132319645218704,0.159588997765963,3.29351854761029e-06,1.60950466284691e-14,2.7726620329904e-17,2.0360782448506e-09,2.95350412064578e-25,1.15634001491921e-17,1.38545566403726e-23,1.68104013862224e-09,2.44603319509848e-27,6.506537531103e-16,4.13945634801266e-15,2.21395190213023e-23,0.0104035571284397,3.08016648931053e-11,7.04557866192065e-17,1.32153664501581e-25,0.0333621644491071,1.991639179695e-25,4.75420423071649e-23,2.91000167265009e-30,3.22530737315523e-09,1.2809195925187e-13,9.76238662927982e-17,1.95496797442125e-46,0.00182802460860869
